u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,l,l,u,l,u,l
1210.2,1397,1602.6,1768.2,1983.1,2128.9,2228.6,2323.6,2501.6,2669.1,2871.4,3000.2,3104.4,3269.7,3400.2,3557.7,3697.3,3798,3890.6,4063.8,4236.8,8082.1,8147.5,8448.2,8490.7,9402.7,9475.9
1247.7,1429.5,1634.4,1841.2,2063,2203,2303.3,2387.2,2613.5,2754.4,2935.3,3056.4,3180.1,3337.8,3469,3634,3771.8,3876.1,3959.7,4180.5,4328.3,8141,8268,8483.9,8523.1,9433.8,9519.7
