r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b
1764.9,1963,2105.5,2201.1,2297,2469.8,2643.5,2848.2,2971.3,3075.7,3253.1,3384.6,3553.9,3691.2,3789.3,3885.7,4048.7,4219.2,4426.8,4543.2,4646.6,4804.4,4907.1,5076.2,5205.9,5360.4,5495.2,5595,5687.8,5857.1,6033.1,6246.3,6378.5,6485.3,6647.4,6746.1,6916.7,7048.1,7211.6,7342.2,7442.1,7538.7,7717.7,7888.5,8098,8220.3,8324.8,8474.4,8574.7,8745.8,8875.8,9037.9,9178.3,9272.9,9371.2,9549.4,9724.9,9934.8,10086,10304,10384,10480,10658,10841,11057,11181,11285,11432,11536,11695,11829,11981,12119,12216,12310,12493,12670,12896,13016,13119,13262,13362,13544,13681,13841,13985,14087,14183,14364,14542,14767,14888,14993,15153,15255,15412,15512,15691,15827,15990,16137,16234,16330
1833.5,2044.9,2173.3,2274.5,2355.2,2571.6,2727.4,2914.2,3022.7,3139,3323.5,3451,3634.2,3762,3862.4,3945.8,4150,4309.1,4491.5,4593.2,4726.4,4855.3,4987.8,5145.8,5271.2,5436.4,5569.3,5665.9,5750,5967.3,6117,6311,6429.3,6570.8,6701.2,6824.9,6984.8,7116.2,7289,7410.6,7521.2,7604.1,7828.4,7980,8162.8,8276.1,8407.7,8527.4,8652.3,8818.8,8956.5,9120,9252.4,9351,9440.2,9658.1,9811.8,10000,10165,10361,10460,10548,10769,10936,11122,11236,11357,11486,11613,11767,11895,12061,12193,12294,12377,12599,12735,12964,13070,13200,13315,13443,13617,13752,13925,14061,14167,14251,14474,14633,14832,14941,15074,15205,15337,15468,15598,15764,15902,16073,16207,16313,16392
