u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1774.6,1963.1,2230.9,2378.1,2480.6,2581.8,2791.9,2980.9,3208.5,3347.1,3454.8,3630.2,3774.3,3957.2,4102.5,4209.8,4304.1,4491.1,4670,4889.5,5025,5135,5330.1,5464.2,5632,5780.6,5881.7,5979.9,6164.9,6350.9,6566,6693.8,6803,6985.2,7128.9,7301.6,7442.1,7540.4,7640.1,7834.2,8013.5,8226.8,8357.1,8464.3,8619.3,8723.3,8889.3,9031.9,9201.9,9344.4,9446.9,9547.2,9733,9918.7,10135,10337,10428,10525,10701,10883,11110,11234,11341,11503,11609,11783,11926,12095,12245,12343,12441,12614,12792,13017,13152,13263,13416,13521,13697,13837
1820.2,2050.3,2301.5,2444.8,2553.6,2645.2,2900.6,3059.4,3269.4,3400.8,3542,3706.5,3845.6,4038.2,4181.2,4282.9,4370.3,4603.7,4760.8,4955.2,5084.9,5225.6,5401.1,5534.9,5715.5,5855.8,5957.8,6047.4,6286.3,6445.2,6635.7,6755.8,6893.1,7066.5,7201.8,7385.8,7517.4,7620,7710.8,7950.4,8113.8,8298.2,8417.9,8558.7,8676.7,8813.7,8968.2,9110.6,9282.9,9424.3,9523.3,9614.4,9858,10021,10214,10393,10505,10596,10824,10984,11179,11294,11429,11563,11700,11865,12002,12180,12317,12421,12512,12733,12890,13089,13208,13355,13474,13614,13775,13910
