u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s
1084.5,1670.9,1960.8,2096.8,2199.6,2318.2,2485.3,2665,2881.7,3012.6,3116.3,3301.4,3442.3,3610.1,3756.8,3852.5,3950,4125.8,4300.9,4520.9,4644.8,4748.6,4923.2,5054.6,5219.8,5360.7,5457.7,5556,5724.8,5899,6110.6,6232.2,6337.7,6487.6,6588.5,6762.2,6900,7179.4,7306.9,7496.4,7627.5,7725.9,7823.8,7995,8166.4,8378.4,8503.2,8609.4,8754.7,8854,9021.7,9155.5,9313.2,9453.1,9551.4,9648.3,9835.2,10007,10213,10412,10495,10593,10754,10930,11138,11257,11361,11518,11627,11823
1129,1739.5,2026.3,2166.5,2273.1,2361.7,2602.5,2756.9,2939.1,3069.6,3206.3,3372.1,3517.2,3688.1,3829.3,3926.7,4012.2,4245.7,4398.7,4581.9,4709.9,4841.3,4992.7,5126.9,5298.4,5432.3,5532.5,5618.9,5846.3,5989.2,6180.4,6291.1,6433.6,6541.4,6685.8,6836.6,6970.9,7228.9,7398.2,7575.3,7701.3,7808.4,7894.4,8111.2,8264.2,8447.2,8564.2,8704.8,8808.3,8940,9096.8,9233.5,9391.6,9526.3,9631.4,9716.8,9959.2,10100,10292,10471,10578,10663,10875,11026,11201,11317,11442,11575,11708,11873
