u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b
1125.4,1309.2,1820,1977.6,2205.6,2350.9,2453,2550.3,2726,2901.5,3113,3246.3,3354.8,3531.1,3664.8,3822.7,3964.3,4055.8,4151.7,4340.1,4516,4723.4,4850.9,4956.1,5115.1,5221.9,5388,5518.8,5683.8,5827.3,5924.7,6018.4,6190.1,6362.9,6577.7,6703.1,6807.1,6958.4,7059.5,7229.8,7364.9,7526.9,7668.4,7769.3,7867.6,8033.3,8209.4,8419.2,8545.8,8651.3,8796.1,8895.5,9060.8,9189.8,9351.1,9492.7,9594.2,9689.1,9862.2,10040,10265,10382,10485,10633,10733,10911,11059,11217,11356,11463,11554,11758,11930,12148,12278,12383,12532,12634,12812,12947,13109,13257,13359,13452,13634,13819,14042,14168,14272,14431,14532,14705,14844,15013,15160,15263,15359,15544,15720,15943,16068,16174,16331,16434,16606,16713,16878,17013,17178,17318,17421,17518
1172.2,1347.8,1859.8,2058.3,2285.3,2425.6,2525.9,2612.6,2835.3,2992.2,3173.2,3304.9,3438.8,3602.3,3743.4,3909.8,4034.7,4134.4,4226.2,4455.3,4608.7,4791.3,4902.4,5037,5175,5303.7,5466.5,5588.8,5769.2,5900.4,6001.8,6083.9,6303.4,6454.8,6643.6,6759.2,6892,7013.3,7141.5,7304.2,7435,7611.1,7746.6,7845.2,7929.7,8155.9,8301,8487.3,8602.8,8733.5,8849.9,8983.6,9128.8,9262.4,9432.9,9569.5,9673.2,9756.4,9981.4,10135,10330,10436,10568,10687,10819,10978,11129,11300,11437,11540,11622,11875,12029,12219,12338,12467,12586,12717,12888,13022,13194,13331,13438,13527,13752,13909,14111,14227,14352,14485,14615,14779,14912,15102,15241,15343,15424,15652,15811,16010,16127,16260,16388,16514,16664,16793,16952,17089,17260,17394,17500,17585
