r,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b
1301.4,1464.3,1624.2,1806.5,1967.1,2248.4,2392,2589.2,2723.3,2811.2,2918.1,3086,3259.2,3465.8,3589.5,3690.6,3854.7,3976.5,4133.7,4273.2,4369.2,4463.7,4644.1,4817.9,5024.4,5151.3,5260,5437.8,5576.5,5745,5886.1,5988.4,6085.3
1339.4,1508.9,1673,1857.7,2055.5,2305.8,2480.9,2668.8,2800.8,2899.7,2984.8,3204.8,3345.9,3529.5,3647,3780.3,3926.3,4049.3,4213.7,4344.2,4444.4,4536.2,4763.2,4915.8,5090.1,5210.3,5347.2,5510.4,5644.6,5825.7,5964.6,6062.4,6148.4
