u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1042.5,1187.2,1369.6,1786,1958.1,2256.3,2393.9,2609.6,2755.3,2856.8,2951.2,3123.4,3303,3509.3,3637,3744.2,3928.2,4054.5,4219.8,4363.8,4463.4,4560.5,4737,4915.8,5124.8,5256.8,5364.7,5541,5675.9,5836.4,5975,6076.7,6169.1,6342.7,6518.2,6730.5,6858.5,6965,7117.8,7216.4,7392.7,7526.8,7688.6,7834.8,7939.2,8034.6,8217.3,8393.7,8612.6,8759.3,8867.2,9027.5,9127.7,9308,9440.2,9604.5,9748.9,9847.7,9944.7,10118,10297,10507,10705,10792,10889,11077,11258,11473,11596,11702,11859,11961,12143,12276,12436,12578,12674,12775,12947,13135,13352,13563,13654,13750,13938,14124,14350,14484,14586,14750,14855,15037,15175,15333,15488,15589,15687,15889,16073,16318,16459,16570,16736,16838,17022,17161,17340,17480,17590,17682
1079.1,1230,1412.2,1830.8,2042,2308.2,2489.6,2692.1,2831.3,2929.5,3019.8,3242.4,3394,3574.6,3696.1,3829.9,4000.5,4133.9,4300.7,4441.7,4539.7,4629,4851.4,5013,5196.2,5313.7,5447.7,5614.8,5745.4,5911.8,6049.1,6154.1,6237.8,6455.9,6610.2,6798.3,6918,7044.2,7174.4,7308,7471,7601.2,7766,7910.7,8016.5,8102,8329.3,8490.7,8679.9,8819.8,8951.6,9083.8,9215.6,9383.3,9514.5,9687.6,9821.8,9928.8,10013,10234,10394,10587,10768,10872,10956,11194,11351,11546,11657,11782,11915,12042,12219,12349,12522,12651,12751,12842,13065,13233,13436,13627,13734,13821,14050,14222,14418,14540,14671,14802,14935,15112,15242,15416,15564,15672,15757,16000,16169,16387,16523,16653,16797,16928,17099,17234,17415,17559,17667,17753
