u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1219,1343.9,1610.4,1761.6,1977.8,2126.7,2229.2,2324.7,2504.9,2678.3,2893.4,3020.9,3126.8,3309.6,3439.7,3603.8,3742,3842.8,3935.2,4113.6,4286.2,4500.6,4620.1,4724.7,4886.7,4985.6,5155.7,5278.8,5426.2,5559.6,5662,5753.4,5932.2,6101.4,6313.4,6425.8,6528.8,6677.3,6774.7,6946.2,7071.3
1254.3,1412,1652.4,1842.4,2055.2,2196.4,2301.1,2381.2,2608.2,2770.7,2956,3072.4,3209.9,3380.2,3511.3,3681.1,3812.5,3919.2,4000.8,4216.5,4371.1,4565.8,4673.8,4810.5,4935.5,5066,5223.6,5348.7,5492,5635.1,5734.5,5819.4,6038.3,6191.1,6373.6,6480,6610.4,6731.1,6862,7015.8,7143
