u,u,u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,l,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1108.6,1240.7,1400.7,1547.9,1684.9,1841.8,1974.2,2214.7,2362.6,2584.4,2723.2,2823.7,2913.9,3099.7,3273.3,3485.2,3606,3710.7,3879.3,4008.3,4350.7,4522.5,4657.1,4847.8,4983.2,5082.9,5175.2,5344.2,5508.3,5721.5,5835.9,5936.5,6090.4,6187.2,6345.2,6470.4,6621.6,6759.4,6859,6951.5,7128,7301.5,7514.2,7633.2,7736.9,7885,7984,8148.8,8275,8432,8571.8,8670.4,8764.5,8939,9121.8,9333.4,9455.1,9554.5,9709.8,9812.2,9960.6,10061,10238,10369,10529,10675,10773,10869,11055,11231,11460,11588,11693,11852,11955,12127,12258,12429,12574,12673,12764,12940,13117,13324,13541,13621,13717,13900,14089,14310,14426,14531,14681,14784,14966,15096,15268,15411,15513,15608,15789,15974,16181,16387,16466,16560,16747,16926,17146,17281,17386,17535,17640,17823,17960,18141,18288,18384,18477
1156.1,1288.8,1449.2,1596.2,1730.9,1891.9,2065.7,2262.7,2458,2659.5,2798.2,2895.1,2980.3,3210.1,3363.7,3544.6,3661.6,3799.2,3947.4,4080.9,4397.8,4570.6,4750.4,4927.3,5059.9,5155.9,5243.3,5454.4,5598.5,5784.7,5894.7,6026.8,6143.5,6273.9,6418.5,6550.2,6705.6,6835.8,6938,7024.5,7248.9,7391.7,7582.7,7694.5,7823.2,7941.4,8075.5,8223.9,8348.5,8521.2,8648.8,8748.1,8840.4,9059.4,9216.8,9403.8,9511.2,9647.9,9767.3,9900.6,10016,10157,10316,10446,10613,10752,10848,10938,11175,11326,11530,11646,11786,11912,12045,12205,12333,12514,12656,12754,12837,13058,13210,13411,13595,13699,13792,14024,14183,14383,14489,14627,14745,14870,15043,15173,15353,15491,15595,15688,15913,16072,16261,16445,16542,16637,16868,17027,17217,17337,17477,17593,17723,17901,18040,18226,18362,18460,18550
