u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,l,u,r,n,n,a,b,l,e,r,n,a,b
1616,1777.5,1989.8,2120.5,2217,2313.1,2491.2,2661.6,2869.4,2998,3101.7,3288.1,3422.7,3583.3,3720.6,3815.9,3912.5,4077.6,4258.9,4471.6,4609.2,4711.1,4873.4,5008.3,5163.1,5304.5,5396.9,5493.1,5662.6,5839.1,6050.1,6181,6283,6450,6575.4,6741.2,6875,6970.4,7068.8,7235.2,7409.8,7624.1,7743.2,7843.6,8001.2,8097.7,8259.4,8389.2,8545.4,8680.2,8778.9,8876.8,9052.4,9229.2,9440.7,9557.6,9661.2,9817.3,9913.4,10086,10220,10381,10524,10625,10723,10896,11073,11278,11478,11563,11662,11836,12008,12230,12351,12453,12601,12706,12872,13005,13180,13322,13419,13516,13694,13876,14098,14226,14334,14489,14593,14766,14903,15073,15220,15321,15419,15610,15800,16023,16157,16264,16415,16516,16704,16844,17024,17232,17475,17629,17851,17998,18093,18193,18371,18555,18756,18981,19075,19175
1657.1,1851,2065.6,2193.4,2289.1,2378.5,2597.9,2751.6,2931.6,3053.5,3182.7,3358.7,3495.2,3667.9,3796.2,3892.4,3979.5,4192.2,4354.7,4533.7,4661.7,4798.2,4947.5,5082.9,5245.2,5373.6,5473.6,5555.7,5781.8,5930.6,6112.3,6231.1,6368.6,6519.4,6646,6818.7,6946.4,7049.5,7133.2,7356.9,7501.4,7689.4,7796.1,7930.7,8048.3,8183.1,8334.2,8458.1,8627.3,8754.4,8854.4,8941.2,9171,9322.2,9508.4,9612.8,9747.1,9877.5,9997.5,10160,10298,10461,10605,10704,10790,11018,11170,11362,11537,11643,11733,11953,12101,12297,12407,12540,12655,12795,12944,13076,13260,13397,13500,13588,13811,13970,14167,14284,14425,14546,14675,14840,14977,15161,15296,15402,15487,15724,15891,16093,16220,16350,16473,16605,16784,16919,17091,17284,17538,17726,17941,18073,18174,18261,18494,18647,18831,19050,19158,19243
