u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w
1161.2,1591,1758.2,1984.9,2128.6,2228,2320,2505.7,2678.5,2889.8,3018.3,3122.4,3285.5,3421,3579.1,3719.1,3817.1,3914.2,4094.6,4270.8,4473.9,4594.8,4698.1,4874.7,5006.9,5167,5308,5408,5503.8,5676.8,5852.4,6056.2,6177,6282.6,6439.2,6538.9,6702.3,6834.5,6997.6,7138.2,7233.6,7327.8,7498.7,7673.6,7889.6,8021.9,8128.8,8280,8381.8,8552.8,8690.4,8850.5,8996.8,9099.9,9195.7,9366.9,9542.4,9747.6,9868.8,9970.5,10122,10224,10394,10528,10695,10836,10936,11032,11214,11392,11612,11742,11848,12004,12106,12291,12422,12607,12764,12868,12962,13154,13340,13564,13701,13812,13973,14076,14262,14395,14568,14720,14826,14921,15115,15299,15529,15664,15771,15936,16039,16223,16355,16523,16673,16774,16869,17079,17265
1202.9,1634.3,1853,2060.3,2199,2301.7,2387.7,2615,2768.5,2946.8,3076.1,3207.9,3359.3,3490.4,3654.7,3793.7,3892.9,3975.9,4216.6,4361.8,4537.2,4649.6,4782.8,4948.7,5083.1,5248.3,5386.3,5481,5570.8,5799.8,5950,6121.3,6235.4,6370.8,6494.7,6631.2,6778.1,6912.8,7078.5,7212.8,7309.4,7392.5,7620.9,7766.1,7957.1,8082,8203,8338,8462.5,8628,8764.9,8935.2,9074.6,9174.7,9260.3,9487,9634.1,9816.4,9925.9,10059,10180,10312,10474,10610,10777,10912,11012,11103,11330,11488,11680,11796,11933,12059,12195,12364,12497,12690,12843,12946,13036,13275,13438,13641,13759,13901,14034,14163,14337,14477,14655,14803,14907,14995,15235,15398,15600,15724,15860,15994,16128,16296,16437,16607,16754,16853,16945,17200,17311
