u,r,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,w
1002.3,1139.3,1775.3,1966,2106,2303.3,2447.4,2546.4,2641.5,2810.5,2989.2,3202.7,3325.8,3434,3613.4,3746.4,3913.9,4060.5,4162.7,4258.1,4431.2,4610.8,4825.4,4952.5,5060,5218.4,5318.6,5491.2,5618.5,5776.4,5917.6,6023.3,6117.4,6284.4,6467.9,6680.4,6806.8,6912.2,7083.8,7214.4,7374.5,7518.5,7622.3,7723.3,7903,8080.7,8285.7,8480.7,8577.4,8671.2,8854.9,9044.8,9271.5,9391.4,9499.3,9657.8,9762,9931.1,10064,10245,10380,10482,10577,10769,10956,11180,11315,11423,11580,11686,11864,12004,12187,12336,12443,12541,12726,12912,13135,13267,13372,13534,13639,13817,13953,14111,14263,14365,14463,14663,14851,15066,15189,15301,15465,15570,15752,15884,16050,16203,16312,16408,16611,16808,17044,17171,17280,17435,17542,17719,17858,18033,18178,18283,18382,18574,18759,18972,19177,19256,19354,19543,19733
1045.4,1183.4,1822,2029.7,2203.7,2383.4,2520.1,2620.8,2715.4,2929.1,3082.5,3267.5,3384.3,3527.8,3684.9,3828.1,4000,4138.5,4237.2,4326.2,4559.2,4705.5,4892,5005.6,5149.4,5276.2,5405.6,5562.6,5697.6,5864.1,5997.9,6096.3,6187.8,6406.3,6566.3,6749.9,6861.2,6998.3,7161.5,7291.2,7460.5,7598.6,7700.5,7795.8,8028.4,8182.9,8371.6,8553.7,8652.8,8742.5,8980.8,9144.2,9344.5,9450,9585,9715.9,9847.2,10007,10148,10323,10460,10565,10648,10889,11048,11255,11375,11510,11634,11768,11938,12079,12273,12418,12524,12614,12847,13009,13206,13326,13465,13592,13732,13894,14032,14195,14337,14446,14534,14783,14896,15136,15251,15393,15526,15660,15829,15969,16124,16286,16390,16478,16735,16903,17111,17232,17369,17497,17632,17795,17936,18114,18259,18360,18452,18695,18851,19062,19229,19334,19430,19665,19779
