u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l
1247.2,1432.2,1594.5,1813.1,1977.6,2220.5,2362.8,2467.4,2563.2,2749.3,2936.1,3143.2,3275.1,3381.4,3546.5,3680.4,3840.5,3983.8,4085.8,4179.8,4357.5,4540.9,4753.7,4884.7,4991.1,5168.4,5302.5,5471.5,5610,5713,5807.9,5983.1
1293.8,1481.2,1648.1,1861.4,2066.1,2296.2,2431.3,2542.9,2632.9,2868.1,3025.5,3214.3,3332.8,3466.2,3624.1,3755.1,3920.2,4059.2,4158.3,4251.1,4474.7,4636.3,4815.2,4943.2,5085.2,5242.5,5374.5,5547.6,5686.4,5787.4,5885.2,6079.4
