r,u,r,n,n,a,b,l,e,t,d,x,s,u,n,n,a,b,l,e,t,d,x,d,x,s,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e
1312.5,1573,1718.8,1955.8,2106.8,2206.2,2303.3,2496.6,2675.4,2894.7,3025.9,3131.9,3300.9,3438.1,3606.8,3751.1,3850.7,3947.8,4131.7,4312.1,4534.1,4661.7,4770.5,4930.1,5033.1,5213,5343.6,5761.9,5892.4,6095.2,6236.2,6337.6,6432,6613.6,6783.4,6996.6,7112.4,7216.8,7367.1,7466.4,7631.9,7768.1,7929.5,8072.2,8172.3,8269,8440.2,8618.7,8793.5,8914,9019.9,9173.2,9274.2,9449.7,9586.5,9756.6,9895.2,9997.4,10097,10287,10466,10693,10812,10920,11082,11187,11359,11496,11657,11808,11907,12005,12198,12381,12589,12792,12876,12977,13160,13339,13577,13701,13806,13956,14059,14236,14376,14538,14676,14782,14879,15083,15262,15474,15676,15767,15864,16054,16236
1380.7,1606.2,1801.8,2030.5,2174.4,2279.1,2362.9,2597.6,2762.9,2950.8,3077.9,3212.6,3375.2,3468.9,3684.3,3822.2,3922.4,4015,4242.1,4407.2,4597.5,4711.5,4853.5,4980.1,5113.4,5284.2,5414,5795.7,5976.8,6177.9,6310,6413,6494.8,6726.3,6874.3,7059.1,7162.2,7300,7422.3,7557.7,7704.1,7844.2,8015.8,8146.9,8251.5,8335.4,8553.8,8664.8,8860.8,8967.8,9097.9,9224.1,9358.7,9524.8,9663.5,9841.1,9969.5,10078,10164,10401,10561,10757,10868,11005,11140,11272,11436,11565,11739,11881,11988,12073,12313,12471,12658,12850,12955,13045,13272,13427,13644,13759,13885,14012,14140,14313,14448,14617,14755,14863,14950,15193,15354,15538,15738,15847,15931,16159,16328
