r,n,n,r,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r
1574.9,1829.6,1975.7,2106,2482.8,2672.4,2815.9,3049,3198.4,3297.5,3397.8,3579.3,3757.1,3971,4098.2,4204.7,4384,4522.6,4696.1,4839.6,4940.6,5039.4,5228.4,5407.8,5617.2,5745.8,5852.2,6025.9,6166,6344.4,6487.6,6588.4,6688.6,6885.1,7072.1,7283.7,7409.3,7517.5,7679.2,7783.2,7962,8105.3,8284.6,8435.8,8539.3,8641.9,8818.7,8997.8,9220.8,9345.5,9452.6,9631.7,9762.3,9922.9,10068,10172,10271,10451,10632,10860,10981,11092,11244,11349,11518,11656,11827,11973,12078,12178,12376,12558,12788,12917,13030,13220,13365
1643.1,1900.8,2049.3,2162.3,2532.1,2714.6,2902.9,3126.8,3271.3,3374.8,3460.5,3696.6,3852.4,4037.8,4152.4,4298.1,4455.7,4598,4776.1,4916.8,5019.7,5107.6,5349.3,5508,5683,5801.8,5936.1,6103.5,6244.1,6427.9,6564.5,6665.2,6755.4,7005.6,7167.6,7356,7468.9,7601.7,7735.3,7878.4,8033.7,8178.1,8366.7,8517.7,8620.4,8708.7,8945,9096.7,9290.2,9407.8,9544.6,9705.6,9835.4,10013,10150,10254,10344,10570,10738,10926,11041,11185,11302,11428,11600,11731,11908,12055,12157,12248,12494,12654,12856,12979,13116,13298,13439
