u,u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n
1058.8,1182.8,1318.9,1468.2,1621.1,1791.6,1967.7,2209.9,2360.1,2461.2,2556.9,2742,2922.4,3133.8,3262.8,3368.5,3531.5,3670.5,3837.1,3983.4,4081.5,4174.1,4346.7,4522.1,4737.8,4862.8,4965.8,5142.1,5280.5,5439.2,5580.7,5678,5776.5,5953.6,6130.4,6334.9,6459.3,6560.7,6710.9,6809.3,6968.6,7096.6,7258.4,7398.6,7495.5,7587.8,7769.9,7945.7,8150.5,8272,8375.7,8525.1,8628.6,8781.8,8907,9062.9,9204.9,9300.9,9395.7,9570.9,9747,9957.4,10076,10182,10333,10436,10613,10756,10918,11064,11164,11260,11453,11630,11844,11965,12070,12218,12321,12504,12639,12815,12957,13054,13151,13334,13512,13726,13854,13963,14119,14225,14389,14497,14668,14805,14969,15108,15207,15302,15478,15664,15873,16013,16121,16271,16375,16559,16699,16883,17025,17119,17214,17394,17583,17823,17964,18076,18240,18346,18519,18619,18795,18936,19098
1105,1219,1359.7,1510.6,1669.5,1846.2,2062.6,2285,2431.5,2533.8,2622.6,2860.6,3015.2,3197.2,3313.2,3456.2,3605.2,3743.1,3916.7,4056.5,4154.9,4242.5,4461.5,4591.5,4802.4,4914.4,5051,5218.4,5353.8,5523,5654.3,5752.6,5843.9,6073.4,6223,6405.4,6515.6,6647.5,6765.7,6898.9,7041.7,7170.3,7338.9,7469.7,7567.5,7658.1,7886.5,8038.6,8213.5,8326.5,8461.8,8586.3,8715.3,8855.7,8981.8,9144.1,9275.7,9377.8,9471.2,9690.2,9837.5,10029,10138,10270,10394,10517,10692,10832,10998,11144,11247,11329,11560,11721,11910,12018,12153,12275,12411,12577,12716,12895,13031,13133,13220,13448,13601,13798,13913,14052,14178,14313,14447,14585,14748,14884,15048,15186,15288,15375,15591,15733,15942,16079,16215,16329,16466,16638,16784,16956,17096,17197,17286,17511,17676,17893,18021,18164,18306,18435,18577,18707,18870,19012,19173
