r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1710.5,1951.4,2100.1,2208.5,2310.7,2500.4,2677,2893.7,3029.5,3138.1,3315.2,3454.6,3617.4,3756.8,3861.3,3955.1,4132.8,4314.2,4530.4,4653.2,4760.1,4917.1,5019.6,5188.5,5324.7,5483.7,5624.5,5722.3,5817.8,6009.1,6186.8,6386.8,6586.8,6673.7,6770.3,6952.3,7138.7,7363.8,7483,7586.3,7737.5,7841,8005.1,8174.7,8305.5,8444.5,8544.7,8641.3,8815.6,8993.2,9209,9329.4,9544.9,9652.4,9749.8,9930.9,10115,10335,10456,10560,10714,10814,11000,11136,11294,11432,11529,11625,11799,11982,12195,12404,12491,12588,12768,12955,13171,13298,13404,13558,13660,13838,13976,14148,14288,14389,14486,14661,14852,15063,15186,15301,15448,15550,15730,15866,16031,16173,16274,16373,16557,16740,16962,17192,17273,17375,17559,17751,17984,18112,18219,18382,18482,18674,18816,18989,19134,19235,19330,19504,19691,19935,20071,20179,20351,20455,20640,20778,20950,21098,21198,21297,21492
1778.3,2022.6,2169.5,2280.2,2366.4,2600.6,2761.9,2950.5,3075.9,3210.8,3385.3,3521.8,3691,3833,3933.7,4020.1,4237.8,4405.9,4597.3,4706.6,4838.6,4971.4,5101.2,5263,5390.8,5561,5694.8,5797.7,5884.1,6119.9,6274.1,6455.3,6648.9,6751.1,6836.6,7062.6,7233.6,7429.9,7535,7666.9,7788.3,7918.5,8081.6,8214.8,8388.2,8520.9,8622.7,8706.9,8934.1,9080.7,9270.7,9397.2,9624.4,9728.4,9814.7,10042,10189,10397,10506,10642,10763,10894,11075,11207,11374,11507,11611,11695,11920,12074,12275,12466,12573,12656,12878,13044,13240,13355,13490,13615,13737,13912,14046,14224,14364,14464,14557,14779,14944,15132,15240,15379,15502,15631,15805,15936,16115,16250,16352,16437,16669,16831,17033,17253,17353,17440,17674,17846,18052,18170,18303,18435,18562,18748,18886,19076,19214,19315,19399,19616,19779,20006,20128,20264,20406,20541,20712,20847,21037,21174,21277,21366,21600
