u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w
1661.7,1783,1982.7,2121.3,2216.2,2310,2486.2,2657.4,2870.8,2992.1,3094.7,3268.3,3400.3,3555.2,3695.5,3796.9,3895.6,4067,4238.2,4455.1,4567,4668.8,4815.1,4914.1,5084.7,5207.1,5374.4,5513,5613.7,5710.1,5885.6,6064.7,6257.6,6448.8,6536.8,6628.4,6814.3,6994,7208.7,7328.4,7431.6,7583.6,7681.3,7836.3,7936.5,8120.3,8251.5,8405.7,8544.1,8647.4,8745.2,8919.3,9097.1,9317.8,9445.4,9550.8,9699.6,9801.9,9979.3,10109,10265,10410,10509,10602,10792,10972,11168,11380,11458,11553,11742,11918,12148,12278,12382,12544,12645,12839,12970,13141,13287,13384,13478,13675,13857
1694.2,1868.2,2061.6,2193.8,2288.2,2373.3,2597.3,2746.8,2932.6,3045.6,3177.3,3339.7,3474.9,3637.2,3774.1,3870.5,3957.4,4184.5,4324.1,4514.6,4620.3,4754.5,4869.5,4997.9,5151.7,5275,5450.1,5589.1,5688.5,5776.6,6006.5,6153.9,6326.9,6512.9,6611.8,6697.5,6927.5,7078.7,7272.4,7381.2,7514.4,7636.6,7770.3,7891,8021.7,8193.2,8327.6,8484.6,8620.8,8725.6,8807.8,9031.7,9185.5,9393.2,9499.4,9636.5,9751.3,9888.1,10049,10178,10345,10484,10582,10673,10899,11059,11246,11428,11540,11621,11848,12010,12214,12334,12462,12600,12733,12913,13042,13227,13359,13459,13540,13791,13902
