r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x
1718.4,1951.4,2097.6,2222.6,2315.8,2501.7,2675.3,2876.7,3003.2,3111.8,3283.4,3421.1,3588.8,3733.6,3838.4,3934.1,4118.7,4296.3,4496.4,4700.1,4787.2,4884.4,5058.6,5238.6,5460.8,5581.8,5689.5
1789.2,2033,2172.1,2289.9,2375.8,2599.1,2732.9,2933.4,3050.4,3185.5,3353.7,3489.7,3666,3807.8,3910.2,3995.7,4235.6,4382.2,4566.9,4758.6,4864.3,4948.2,5169.3,5332.9,5522.1,5633.5,5762.8
