u,u,r,n,n,a,b,l,e,t,d,u,u
1646.8,1822.7,1966.9,2202.9,2346.6,2445.2,2536.5,2726.2,2900.4,3124.7,3276.8,3906.4,4043.9
1684.6,1862.8,2058.2,2275.2,2413.6,2515.8,2599.5,2831.8,2991.2,3185.8,3330.2,3951.9,4096.1
