r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1299.7,1625.5,1767.8,1978.7,2118.5,2218.8,2318.9,2507.3,2687.9,2900.7,3022.9,3128.7,3297.5,3434.9,3598.1,3740,3839.3,3933.4,4113.8,4292.3,4497.2,4619.7,4726.4,4883.5,4982.3,5147.2,5280,5441.3,5580.6,5678.2,5775,5960.9,6136.5,6350.8,6474.8,6580.8,6734.2,6833.3,7005.6,7135.4,7296.7,7436.2,7534.6,7632.2,7808.7,7986.3,8193.8,8315,8417,8565.8,8664.9,8833.8,8969.1,9130.1,9270.2,9369.4,9466.9,9638.9,9814.8,10033,10162,10267,10428,10530,10698,10831,10995,11134,11232,11326,11513,11687,11900,12113,12200,12295,12494,12678,12879,13089,13174,13275,13456,13638,13841,14057,14155,14252,14435,14626,14851,14988,15089,15243,15346,15531,15665,15832,15970,16069,16167,16353,16535,16747,16958,17047,17144
1376.9,1665.9,1845.7,2057.7,2187.5,2293.8,2379.8,2617.5,2775.6,2960.1,3076.2,3207.5,3373.6,3499.3,3674.4,3813.9,3914.6,3999.2,4221.9,4379.9,4562.2,4676.2,4804,4929.4,5059.5,5221,5343,5520.2,5652.8,5757,5842.4,6075.2,6224.9,6418.3,6527.9,6661.4,6784.9,6912.9,7080.5,7204,7377.4,7511.6,7612.3,7698.3,7931.2,8079.9,8261.9,8367.9,8498.9,8619.3,8744.3,8911.2,9047.3,9211.5,9345.9,9445.4,9533.9,9753.6,9911.1,10103,10216,10345,10483,10609,10773,10898,11074,11208,11309,11393,11622,11778,11966,12173,12278,12367,12608,12771,12956,13150,13256,13340,13567,13731,13918,14130,14235,14319,14552,14716,14917,15040,15174,15297,15434,15605,15738,15914,16044,16150,16231,16463,16628,16821,17020,17129,17214
