u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t
1319,1490.6,1645.8,1820,1975,2297.4,2442.2,2668.8,2814.1,2915.5,3009.6,3190.9,3369.3,3578.1,3708.5,3816.8,3995.3,4123.1,4282.4,4418.7,4518.2,4612.1,4789.2,4971.3,5186.1,5330.2,5435.8,5611.7,5746.1,5933.1,6068.7,6166.3,6260.4,6429.9,6603.1,6804.2
1359.8,1534.6,1694.2,1868.4,2062.7,2355.2,2536.3,2749.6,2886,2989.4,3077.6,3305.4,3462.7,3639.3,3765.8,3906.9,4064.3,4194.1,4359.8,4490.3,4595.1,4680.7,4903.1,5062.8,5244.2,5385.7,5524.7,5684.2,5821.2,5996.3,6141.8,6241.4,6328,6547.8,6698,6868
