u,l,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t
1866.7,1983.9,2192.6,2374.4,2532.8,2734.2,2872.9,2971,3065.8,3235.8,3407.2,3605.7,3735.9,3837.9,3994.1,4123.8,4294,4439.9,4543.4,4639.5,4836.5,5011.8,5220.2,5343.1,5444.3,5611.8,5741.1,5912.3,6051.6,6146.2,6240.6,6412.3,6581.8,6793.8,6912.3,7012.4,7171.3,7269.8,7448.3,7584,7749.1,7889.6,7990.3,8081.4,8251.1,8424.7,8641.5
1904.6,2059.8,2237.8,2406.9,2611,2809.3,2947.4,3042,3127.1,3349.8,3497.8,3672.1,3791.3,3922.5,4066.5,4200.6,4373.7,4521.6,4617.5,4706.1,4951.3,5106.4,5287.6,5404.2,5527.5,5682.3,5815.3,5993.6,6126.3,6224.2,6305.6,6530,6672.8,6859,6970.7,7105.8,7229.1,7363,7521.7,7658.6,7831,7965.9,8065,8150.4,8372,8517.8,8691.6
