u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e
1459.8,1619,1837.6,1982.3,2086.4,2184.2,2369.2,2551.8,2772.2,2901.2,3008.4,3189.2,3322.2,3488.7,3630.1,3730.1,3827.9,4010.9,4193.2,4411.7,4533.4,4637.4,4811.7,4943.5,5106.5,5248.7,5350.6,5452.7,5635,5813.8,6029.9,6155.9,6260.7,6442.2,6580.8,6744.1,6891.7,6993,7093.6,7280.8,7462.6,7672,7868.6,7958.7,8063.4,8252.6,8440.8,8667.7,8797.3,8904,9081.2,9215.9,9378.8,9522.1,9625.2,9724.9,9918.8,10110,10339,10476,10585,10748,10850,11027,11161,11334,11480,11582,11682,11867,12057,12291,12421,12531,12698,12802,12977,13114,13284,13434,13543,13644,13825,14010,14245,14374,14484,14654,14758,14940,15084,15253,15396,15501,15600,15789,15976,16201,16407,16502,16601,16804,16987,17218,17349,17460,17621,17728,17915,18066,18246,18390,18506,18613,18829,19022,19256,19397,19510,19685,19793,19975,20116,20292,20835,20995,21219,21363,21470,21572,21781,21975
1505,1695.4,1907.6,2056,2160,2246.1,2482.5,2643.8,2831.2,2959.8,3097.3,3263.3,3388.6,3566.9,3705.5,3805.8,3893.8,4128.2,4283.5,4473.9,4585.8,4722.4,4886.7,5014.8,5183,5322,5428.5,5517.7,5750.7,5902.5,6094.4,6211.2,6347.2,6517.6,6651.7,6828.5,6967.6,7073.2,7160.6,7399.8,7554.7,7743.7,7936,8039.7,8128.6,8369,8537.2,8735.5,8848.8,8988.1,9156.2,9291.2,9464.6,9600.8,9704.6,9792.4,10035,10205,10415,10533,10680,10806,10935,11104,11238,11418,11554,11662,11753,11986,12150,12365,12480,12617,12752,12889,13055,13188,13368,13516,13623,13710,13939,14107,14310,14433,14570,14714,14847,15021,15162,15337,15477,15580,15672,15905,16069,16271,16473,16580,16669,16921,17083,17291,17408,17546,17682,17822,17993,18142,18321,18477,18590,18683,18949,19123,19330,19454,19601,19744,19881,20052,20193,20333,20894,21082,21300,21442,21551,21639,21894,22070
