u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b
1132.3,1826.2,1959.5,2168.3,2313.1,2414.8,2511.3,2686.7,2860.1,3070.4,3197.1,3307.1,3486,3616.5,3782.5,3923.1,4025.4,4116.3
1187.9,1871.8,2049.1,2245.8,2388.9,2489.1,2573.2,2801.5,2950.5,3132.4,3254.5,3394.1,3556.8,3686.9,3861.3,3997.1,4098.6,4182.9
