u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,r,t,d,x,d,x,s,r,n,n,a,b,l
1138.1,1288.7,1437.8,1602.9,1748.8,1983.1,2118.3,2214.7,2306.3,2473.1,2644.8,2852.8,2978.4,3081.4,3246.2,3378.9,3533.5,3674.2,3773.9,3867.4,4044.3,4216.1,4419.9,4545.6,4647.2,4798.2,4898.5,5057.2,5185.6,5345.2,5482.8,5581.8,5671,5833.1,6010.5,6216.4,6331.6,6432.4,6589.6,6686.3,6858.1,6992.2,7143.5,7280.7,7378.4,7472.9,7643.1,7822,8036.9,8153,8255.6,8407.1,8507.8,8676.8,8810.2,8967.6,9103.5,9201.6,9298.1,9474,9650.5,9869.4,10013,10115,10267,10369,10533,10665,10834,10973,11074,11166,11341,11516,11729,11851,11956,12103,12202,12364,12462,12627,12759,12931,13074,13182,13275,13467,13639,13842,14032,14118,14214,14409,14595,14805,14928,15033,15182,15282,15457,15590,15753,15901,15999,16095,16280
1187.7,1325.6,1487.6,1644.8,1830.8,2059.1,2188.2,2285.7,2370.5,2584,2735.5,2916.3,3032.6,3165.7,3315.6,3454.8,3614,3749.7,3847,3937.5,4167,4306.7,4485.5,4598.8,4734.8,4854.8,4982.9,5123.7,5255.2,5421.7,5554.9,5657.5,5740.1,5950.5,6099.7,6282.9,6387.5,6521.4,6641.1,6773.7,6931.2,7065.4,7226.8,7355,7458.6,7539,7762.8,7913.4,8100.2,8209.8,8332,8462.4,8589.6,8753.1,8879.6,9048.1,9178.5,9279.3,9361.6,9593.5,9737.8,9932.3,10071,10191,10321,10458,10606,10735,10914,11047,11152,11235,11446,11606,11794,11902,12037,12157,12288,12422,12539,12698,12838,13010,13160,13259,13348,13573,13729,13917,14098,14199,14281,14516,14645,14873,14982,15111,15238,15360,15529,15662,15837,15976,16080,16161,16388
