u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l
1850.8,1987,2202,2341.1,2440.8,2535.8,2721.4,2902.3,3118.4,3242.6,3347,3512.6,3637.5,3800.9,3936.4,4035.7,4135.6,4337.5,4511.3,4727.1,4849.4,4954.9,5125.6,5252.6,5407.7,5545.1,5640.9,5736.9,5915.1,6096.7,6304.8,6422,6522.8,6670.7,6769.9,6936,7063.1,7222.6,7360.4,7456.7,7552,7732.1,7905.8,8107.6,8303.8,8398.4,8492.6,8665.2
1898.1,2075.5,2274.7,2415.6,2517.1,2604.4,2845,2996.9,3182.8,3303.5,3439,3582.4,3710.2,3882.1,4012.4,4117.1,4213.8,4460.5,4606.6,4790.7,4904.3,5048.7,5201,5333.5,5489.1,5617.6,5717.9,5813.7,6045.8,6188.4,6366.8,6481.1,6613.9,6722.5,6861.1,7012.9,7145.2,7304.2,7430.4,7536.2,7631.2,7856.6,8003.8,8203.5,8373.6,8476.3,8567.2,8766.9
