r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d
1780.8,1987.4,2123.4,2219.4,2314.6,2491.5,2662.6,2851.6,3044.2,3124.6,3221,3386.4,3560.8,3768.2,3885.1,3986.8,4134.7,4232.4,4391.5,4489.7,4656.3,4786.3,4934.1,5073.5,5169.9,5265.4,5443.2,5613.7,5824.2,5935.5,6041.1,6184.8,6288,6464.1,6595.9,6755.8,6893,6992.3,7087.8,7283.2,7458.7,7672.7,7801.2,7903.8,8056.6,8157.5,8331.1,8465.6,8632.5,8776.4,8874.7,8970.1,9151.1,9340.1,9547.3,9671.3,9774.5,9933,10034,10219,10354,10522,10663,10764,10860,11040,11221,11416,11626,11708,11807,12002,12192,12414,12558,12662,12826,12929,13086,13186,13369,13507,13678,13822,13924,14017,14199,14388,14615,14757,14864,15027
1856.4,2072.2,2198.6,2294.2,2380.2,2596.9,2750.6,2925.9,3099.6,3205.5,3285.1,3503.4,3650.6,3832.5,3940.2,4079.5,4187.8,4313.5,4441.4,4575.6,4726.5,4857.9,5018.9,5148.7,5248.9,5331.2,5551.8,5704.7,5890.7,5992.7,6120.4,6242.9,6373.2,6539.6,6665.4,6837,6969.5,7069.7,7169.8,7399.5,7551,7744.6,7859.5,7988.2,8112.9,8243.6,8404.9,8539.1,8718.8,8852.9,8950.6,9037.8,9277.1,9387.7,9621.5,9728.9,9871.2,9987.8,10130,10290,10430,10605,10741,10841,10929,11158,11288,11498,11684,11790,11875,12120,12277,12486,12617,12751,12884,13008,13142,13274,13449,13579,13759,13904,13998,14084,14320,14481,14683,14814,14952,15080
