r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1712.9,1950,2097.1,2199.1,2297.7,2480.3,2653.5,2866.8,2997.1,3106.7,3287.8,3412.8,3576.8,3721.9,3822.4,3919.9,4097.9,4270,4484.5,4613,4719.4,4873,4978.6,5155.9,5310.7,5473,5626,5725.6,5825.6,5997.8,6172.9,6383.3,6494.7,6692.6,6783,6878.8,7061.8,7239.3,7459.5,7662,7745.2,7842.2,8027.5,8197.5,8424.7,8542.2,8649.3,8814.7,8919.2,9097.3,9230,9391.7,9536.8,9640.2,9735.2,9912.6,10097,10315,10446,10554,10711,10816,10996,11134,11294,11444,11548,11642,11825,12005,12230,12360,12473,12632,12735,12900,13002,13181,13319,13498,13644,13744,13844,14035,14218,14454,14579,14687,14846,14948,15133,15304
1788.2,2028.7,2167.1,2268.5,2353.6,2572.4,2738.2,2928.3,3049.7,3184.2,3355.9,3478.9,3657.5,3796.4,3895.8,3981.4,4203.8,4354.8,4545.9,4661.7,4798.6,4922.1,5058.2,5221,5381.2,5557.9,5698.8,5801.6,5883.5,6101.4,6259.7,6439,6560.7,6757.7,6856.3,6942.2,7166.8,7324.3,7529,7710.5,7824.5,7909.9,8134.6,8290.2,8491.2,8597.1,8728.3,8865.6,8996.4,9169.6,9305.6,9469.6,9611.8,9712.8,9800.9,10027,10183,10382,10504,10635,10766,10898,11069,11204,11376,11515,11622,11706,11940,12095,12297,12416,12553,12683,12817,12952,13082,13256,13387,13579,13719,13817,13908,14143,14275,14517,14635,14770,14897,15031,15204,15369
