u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1599.5,1756.5,1985.2,2126,2224.3,2318.5,2512.1,2682.2,2902.7,3036.7,3144.9,3329.3,3464.4,3644.8,3783.6,3882.1,3978.1,4156.8,4332.6,4552.5,4678.4,4781.2,4938.6,5038.6,5208.5,5338.7,5497.4,5633.6,5730.4,5828.2,5996.3,6163.7,6368.9,6493.8,6598.8,6757.5,6860.7,7081.5,7214,7366,7502.3,7600,7698.8,7864.2,8037.9,8247.3,8364.2,8464,8610.5,8710.2,8876.8,9006.6,9157.2,9298.7,9391.2,9484.6,9655.7,9830.5,10040,10160,10263,10417,10516,10678,10814,10972,11117,11210,11306,11490,11672,11871,12072,12152,12247,12424,12604,12832,12953,13057,13208,13308,13483,13613,13767,13912,14009,14103,14275,14448,14652,14858,14952,15048,15224,15409,15660,15789,15892,16048,16148,16324,16458,16628,16769,16870,16965,17147,17331
1637.7,1824.7,2063,2195.3,2293.9,2378.7,2611.4,2773.4,2962.2,3087.2,3227.8,3395.3,3528.8,3719.8,3854.9,3954.3,4038,4265,4398.2,4615.2,4726.4,4862.5,4990.2,5118.6,5278.6,5408.1,5576.3,5705.2,5803.8,5890.3,6104.8,6251.1,6431.4,6546.4,6670.2,6813.1,6938.8,7150.8,7286.7,7446.3,7575.1,7678.3,7761.7,7976.3,8129.6,8308.2,8417.6,8541.7,8660.2,8791.6,8948.2,9073.9,9239.4,9368.2,9469.2,9549.5,9769.6,9916.8,10108,10209,10343,10473,10594,10750,10892,11054,11187,11290,11368,11602,11767,11949,12122,12230,12312,12534,12700,12898,13012,13142,13261,13386,13552,13682,13849,13982,14088,14169,14387,14541,14727,14923,15034,15115,15340,15500,15728,15843,15972,16102,16230,16395,16526,16711,16845,16950,17034,17259,17394
