u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n
1586.3,1744.9,1990.4,2130,2226.8,2321.1,2497,2666.6,2869.4,3000.9,3101.9,3261,3393,3542,3679.2,3776.4,3870.3,4042.3,4212.4,4408.4,4520.3,4620.3,4786.4,4913.6,5070.7,5204.1,5302,5395.1,5566.1,5737.1,5941.3,6059.8,6160.3,6311.1,6408.1,6573.8,6700.7,6865.9,7007.3,7104.5,7195.7,7364.9,7531.4,7742.1,7866.4,7969.4,8128.9,8228.3,8397.3,8536,8712.2
1619.6,1817.5,2061.6,2197.7,2296.2,2379.9,2604,2751.5,2929.8,3051.2,3183.9,3334.4,3458.7,3621.9,3752.5,3851.7,3935,4164.5,4297.6,4468.8,4575,4705.6,4856.8,4979.9,5151.3,5278,5376,5460.8,5682.8,5828.2,6007.5,6114.7,6246.2,6365.8,6496.2,6643.7,6776,6949.3,7083.8,7177.4,7262.8,7475.5,7621.4,7807.4,7921.5,8057.9,8183.8,8316.4,8475.5,8608.2,8760.8
