r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,u,r,n,n,a,b,l,e,t
1967.5,2216,2373.7,2474.4,2578.2,2770.9,2949.7,3138.1,3265.8,3370.8,3552.4,3687.1,3852.6,3991.6,4091.4,4187.3,4367.3,4541,4759.1,4891.1,4997.8,5176.6,5307.1,5475.5,5618.7,5716.8,5813.2,6003.5,6183.6,6389.7,6515.4,6622.1,6794.1,6932.5,7093.2,7236.3,7335.7,7428.6,7602.5,7780.7,7987.5,8100.3,8207.5,8364.3,8465.8,8644.1,8783.3,8952.2,9095.9,9193.4,9289.6,9469.3,9646.8,9864.2,9990.9,10094,10247,10346,10524,10663,10822,10972,11077,11174,11364,11541,11751,11879,11987,12172,12313,12496,12646,12744,12841,13019,13199,13412,13544,13654,13815,13918,14102,14242,14424,14573,14675,14771,14952,15133,15356,15500,15607,15772,15875,16056,16192,16362,16511,16611,16706,16888,17073,17300,17434,17539,17703,17805,17991,18130,18304,18458,18563,18659,18846,19035,19259,19387,19494,19686,19790,19970,20110,20326,20476,20576,20673,20865,21044,21251,21469,21562,21663,21857,22055,22277,22401,22508,22666,22771,22964,23101,23275,23425,23527,23623,23801,23988,24235,24380,24488,24669,24776,24966,25105,25289,25446,25552,25649,25832,26015,26241,26377,26481,26664,26771,26953,27094,27283,27440,27543,27639,27826,28014,28259,28537,28688,28903,29050,29150,29243,29449,29635,29863
2042.6,2289.9,2438.4,2545.3,2638.8,2873.3,3011.2,3199.5,3323.3,3457.7,3626.7,3758.8,3928.4,4066.3,4166.1,4254.5,4484.9,4636.2,4821.4,4942.8,5075.9,5243.9,5376.9,5552.6,5694.8,5792.4,5878.7,6124,6279.7,6452.4,6573.2,6708.5,6870.8,7002.2,7171.2,7311.9,7411.6,7494.4,7727.2,7874.3,8054,8157.9,8288.8,8419.7,8554.5,8715.8,8851.4,9033.1,9172.3,9269.6,9352.3,9588.3,9733.2,9926.5,10048,10180,10304,10425,10599,10735,10905,11049,11152,11240,11485,11636,11821,11940,12074,12249,12387,12578,12719,12819,12910,13134,13290,13481,13604,13735,13868,14005,14180,14309,14500,14648,14749,14837,15075,15228,15427,15559,15698,15829,15964,16130,16266,16443,16587,16687,16773,17007,17168,17367,17490,17632,17759,17886,18066,18206,18388,18535,18640,18730,18969,19128,19330,19445,19590,19743,19872,20049,20181,20402,20552,20657,20748,20984,21126,21321,21536,21638,21730,21963,22128,22342,22462,22590,22724,22854,23038,23172,23361,23501,23604,23689,23918,24080,24303,24437,24578,24732,24863,25043,25178,25372,25527,25633,25717,25944,26074,26306,26434,26572,26724,26860,27034,27166,27364,27518,27621,27710,27945,28105,28333,28603,28775,28985,29125,29230,29315,29564,29732,29931
