u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,t,r,n,n,a,b,l,e,t,d,x,t,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,w
1130.6,1295.2,1460.4,1609.4,1789.8,1965.7,2203.6,2354.3,2462.4,2558.6,2757.1,2947.2,3170.6,3301.5,3410.9,3582.4,3721.7,3895.7,4041.6,4148.5,4246.2,4426.8,4608.8,4830.5,4969.2,5077.6,5256.1,5396.9,5567.8,5711.2,5810.9,5910.5,6090.9,6281,6509.6,6643.9,6755.3,6918,7021.2,7201.4,7345.1,7529,7674.2,7774.8,7871.7,8071.2,8257.6,8476.9,8679.7,8785.8,8885.5,9084,9261.4
1169.5,1329.8,1505.1,1661.8,1842.5,2057.3,2280.9,2430.1,2537.5,2632.7,2870.8,3044.8,3237.7,3365.9,3507.6,3660.4,3798.2,3975.4,4118.5,4223.5,4317,4550,4715.3,4901.2,5030.7,5172.2,5330.9,5475.5,5649.9,5788.7,5890.7,5983.2,6218,6387.2,6578.4,6704.1,6847.6,6987.2,7114.8,7286.2,7427.2,7609.2,7752.1,7854.8,7949.3,8199.8,8355.7,8567.9,8759.7,8866.9,8966.9,9202.2,9308.4
