r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,n,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1620.2,1835.6,1973.7,2074,2167.8,2367.8,2539.9,2745.3,2954.2,3049.9,3149.1,3328.2,3505.8,3716.7,3839.9,3944.2,4117.3,4249.9,4410.6,4545,4644.8,4739.3,4910.4,5084.7,5298.7,5427.9,5530.2,5680.9,5782,5965.1,6098.1,6248.2,6384.6,6486,6584.2,6759.1,6942.9,7152.4,7278.9,7384.5,7553.9,7695.7,7850.8,7989.7,8089.2,8184.3,8363.6,8547.1,8758.8,8955.6,9045.9,9146.5,9319.3,9497.2,9715.3,9841.2,9945.6,10103,10205,10368,10498,10652,10795,10894,10987,11165,11347,11565,11687,11792,11941,12045,12221,12355,12514,12662,12760,12858,13048,13233,13459,13581,13689,13847,13947,14117,14256,14428,14574,14673,14775,14950,15141
1684,1901.6,2042.2,2145.9,2226.1,2468.3,2629.3,2820.3,3017.9,3121.9,3210.5,3440.6,3595.8,3780,3895.1,4030.9,4187.2,4318,4488.7,4619.5,4718.2,4806.2,5026.8,5169.9,5364.1,5480,5609.3,5735.2,5865.8,6035.5,6162.2,6325.7,6461.4,6561.8,6646.9,6878,7035.8,7219.9,7330.5,7467.2,7631.3,7765.9,7933.3,8063.6,8166.9,8247.8,8482.7,8640,8827.9,9020.5,9124.7,9212,9435.4,9590.2,9778.2,9898.7,10022,10158,10288,10440,10569,10737,10868,10972,11055,11282,11441,11630,11742,11880,11994,12133,12293,12428,12598,12733,12842,12927,13162,13327,13528,13634,13766,13899,14033,14194,14334,14509,14649,14755,14837,15065,15231
