u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1531,1669,1828.2,1977.3,2177.6,2314.6,2413.3,2509.7,2685,2858,3055.5,3166.5,3265.2,3425.1,3553.9,3705.8,3843.7,3942.1,4037,4197.6,4371,4582.9,4704.6,4809.1,4988.8,5087.5,5271.5
1580.1,1727.3,1877.3,2058.6,2253.1,2388.7,2489.5,2571.2,2809.1,2949,3114.5,3217.7,3349.9,3492,3623.8,3785.6,3916.9,4016.4,4101.9,4320.8,4460.1,4645.7,4760.5,4901.3,5042,5173.8,5332
