u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r
1280.3,1434.7,1600.6,1761.8,1988.2,2129.4,2224.2,2315.5,2498.3,2670,2886.2,3014.7,3120.4,3291.4,3420.1,3573.7,3711.1,3809.8,3906.5,4076.1,4252.4,4478.3
1332.7,1486.5,1651.9,1839.6,2062.2,2193.6,2291.4,2378.7,2608.6,2756.3,2953.8,3067.9,3204.4,3361.4,3488.2,3655.4,3786.1,3885.5,3970.6,4188.8,4339.2,4542.4
