u,r,n,n,a,b,l,e,r,n,a,b
1836,1960.7,2166.3,2304.2,2403.9,2494.3,2677.2,2851.3,3043.8,3247.5,3329.7,3422.6
1873.7,2051.5,2245.3,2377.7,2473.1,2557.7,2790,2939.6,3119.1,3302.9,3406,3479.8
