r,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b
1277.2,1750.7,1988.9,2130.4,2232.4,2322.8,2495.6,2670.6,2880.4,3005.8,3110.2,3293.5,3430.6,3597.4,3747.7,3846.2,3938,4119.2,4299.6,4508,4635.8,4738.3,4912.1,5042.5,5202,5341.9,5439.5,5535.7,5705.8,5891.2,6120.5,6242.2,6346.5,6494.3,6595.4,6751.1,6879.9,7038.4,7174,7272.8,7365.9,7544.1,7718.5,7937.9,8061,8161.4,8311,8410.4,8576.4,8705.8,8870,9014.5,9112.4,9205.7,9399.2,9574.5,9789.9,9914.1,10017,10195,10328,10490,10632,10732,10827
1357.4,1822.4,2060.7,2201.3,2301.4,2386.3,2603.4,2758,2940.3,3052.7,3183.8,3361.2,3498.3,3675,3816.7,3917.9,4005.3,4237.1,4388.3,4571.4,4688.1,4822.1,4991.3,5110.5,5283.1,5409.7,5514.4,5601.3,5821.5,5985.3,6183.4,6296.8,6419.2,6539.6,6682.9,6821.1,6945.8,7113.1,7246.9,7345.6,7433.2,7655.1,7816.2,8008,8117.4,8248.5,8366.4,8498.8,8650.5,8781.9,8955.7,9090.2,9191,9279.2,9521.6,9668.6,9859.2,9972.8,10108,10273,10410,10573,10705,10808,10903
