u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r
1435,1574.7,1737.8,1975,2112.3,2217.4,2312.9,2489.2,2670.1,2883.4,3018.2,3125.2,3293.5,3429.8,3611.1,3756,3855.2,3949.1,4131.4,4308.6,4518.1,4640.7,4743.4,4895.2,4996.4,5159.5,5289.1,5446.8,5591,5688.2,5781.8,5962.4,6138.6,6356.9,6476.3,6578.9,6733.1,6832.7,6998.4,7127.4,7283.7,7423.5,7524.3,7618,7791,7969.2,8163.8,8362.3,8447.1,8541.6,8728.5,8904.9,9103.9,9308.1,9398,9495.3,9671.8,9852.5,10066,10185,10290,10435,10538,10697,10823,10977,11122,11225,11321,11497,11672,11890,12014,12120,12270,12373,12542,12674,12834,12973,13071,13167,13340,13523,13755,13874,13981,14125,14229,14409,14541,14717,14866,14965,15061,15234,15423,15641,15850,15931,16027,16210,16397,16619,16744,16850,17010,17118,17288,17391,17565,17708
1478.5,1622.7,1814.2,2040.9,2186.1,2285.9,2375.3,2604.3,2757.9,2942,3075.8,3216.5,3366,3511,3692.2,3827.4,3930.8,4022.8,4255.9,4402.9,4579.8,4696.8,4836.7,4952.2,5090,5232.4,5363.7,5522,5664.8,5763.7,5851.5,6081.2,6203.5,6424.4,6528.2,6667.2,6785.9,6925.3,7070,7203.5,7368.9,7500.1,7599.5,7688.4,7912.5,8064.8,8251.3,8420.7,8524.5,8613.9,8856,8997.7,9182.8,9373.2,9476.2,9567,9790,9951.8,10133,10244,10385,10490,10632,10771,10906,11058,11203,11299,11388,11619,11767,11953,12074,12207,12328,12473,12617,12747,12912,13050,13149,13235,13460,13616,13822,13934,14075,14184,14323,14483,14624,14796,14941,15042,15138,15360,15523,15720,15908,16012,16095,16332,16492,16687,16804,16938,17068,17211,17349,17483,17640,17789
