r,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r
1188.1,1327.4,1479.7,1635.9,1811.9,1983.8,2237.4,2379.9,2478.9,2575.2,2751.7,2927.4,3138.4,3266.3,3372.7,3549.8,3687.2,3857.3,3994.7,4088.3,4179.5,4352.8,4533.1,4732.7,4945,5035.9,5133.2,5306.4,5485.2,5722.7,5861,5966.8,6153.2,6416.5,6560.6,6752.8,6888.7,6987.3,7080,7253.3,7427.7,7637,7756.4,7860.9,8012.2,8108.9,8283.9,8410.7,8571.4,8713.4,8808.3,8902.2,9064.3,9238.9,9429.5,9632,9714.2,9807.3,9975,10156,10364,10479,10580,10724,10828,10993,11122
1226.6,1376.6,1526.6,1688.5,1860.4,2064.3,2307.9,2449,2551.7,2636,2860.7,3018.5,3204.6,3324,3458,3626.4,3756.8,3935.4,4064.7,4161,4248.6,4470.9,4627.2,4817.8,5003.7,5111.2,5199.5,5427.9,5579.3,5787.8,5918,6056.9,6211.6,6472.4,6650.1,6831.8,6963.3,7061.5,7144.8,7376.5,7523.7,7703.5,7813.6,7940.9,8070,8199.4,8355.8,8483.8,8655.2,8786.8,8883.7,8970,9184.4,9333.6,9517.5,9688.5,9789.3,9882.8,10099,10260,10434,10544,10669,10781,10914,11068,11198
