r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1618.9,1833,1971.6,2067.6,2163.4,2332.6,2504.4,2700.5,2823.2,2925.6,3094.6,3222.4,3375.4,3514.7,3613,3709.5,3873.8,4041.3,4242.4,4359.7,4459.1,4604.3,4702.4,4857.9,4987.2,5144.3,5278.2,5379.5,5474.3,5637.7,5810.5,6014.8,6138.5,6240.5,6386.3,6486.7,6650.9,6780.8,6949,7082.7,7184.4,7279.5,7453,7629.8,7833.3,8023.6,8104,8198.2,8373.9,8548.1,8758.1,8877.4,8979.3,9129.3,9229.1,9396.5,9521.2,9684.7,9824.4,9923.8,10017,10193,10368,10582,10706,10810,10956,11057,11236,11368,11536,11676,11772,11864,12035,12213,12426,12553,12658,12815,12920,13132,13274,13444,13583,13681,13774,13965,14149
1697.1,1906.8,2041.9,2138.7,2225.1,2435.6,2588.4,2769.2,2874.1,2998.3,3168.8,3288.2,3460.6,3594.3,3685.3,3772.8,3979,4131.9,4306.7,4408.6,4534.8,4658.4,4785.5,4929.9,5053,5225.2,5354.8,5455.7,5539.6,5755.8,5895.3,6079.8,6187.7,6312.9,6439,6564.8,6724.2,6849.6,7030,7160.2,7259.2,7344.2,7571.3,7719.9,7901.7,8079,8186.9,8269.6,8495.2,8634.6,8819.1,8932.8,9061.2,9185.1,9307.4,9466.1,9596.6,9763.3,9903.2,9998.3,10081,10310,10457,10651,10764,10892,11010,11140,11310,11440,11618,11749,11849,11931,12145,12309,12493,12610,12739,12870,13005,13202,13348,13524,13658,13760,13843,14079,14238
