u,u,r,n,n,a,b,l,e,t,d,x,s,r,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,u,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,u,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,w
1679.2,1841.7,1978.7,2212.2,2351.3,2453.8,2547.9,2730.5,2910.4,3121.5,3255.2,3361.4,3532.2,3661,3823.9,4338.4,4472.3,4667.7,4806.6,4906,5000.3,5170.6,5340.7,5542.7,5664.5,5767.1,5925.8,6054.7,6212.1,6355.8,6451.9,6545.5,6711.4,6893.1,7109.1,7231.4,7333.3,7485.5,7582.2,7757,7883.5,8047,8182.4,8284.9,8377.6,8550.2,8727.8,8937.1,9058.2,9163.5,9308.2,9411.5,9586.1,10041,10165,10353,10489,10587,10680,10855,11031,11252,11380,11484,11635,11735,11899,12002,12178,12308,12472,12614,12711,12803,12985,13166,13401,13525,13633,13783,13881,14057,14193,14352,14501,14604,14698,14883,15066,15273,15395,15500,15658,15761,15941,16080,16242,16388,16485,16579,16830,16971,17184,17326,17431,17526,17713,17900,18094,18213,18317,18470,18571,18734,18836,19010,19149,19320,19466,19566,19660,19847,20032
1712.3,1880.4,2067.2,2281.3,2418.2,2525.1,2613.2,2843.6,3000.6,3185.5,3311.3,3449.9,3604.3,3737,3879.7,4393.5,4562.1,4747.9,4880.7,4976.6,5068.7,5284.7,5429.5,5604.9,5719.2,5854.4,6001.1,6124.4,6294.8,6431.3,6525.8,6614,6829.4,6985,7174.8,7287.6,7420.8,7538.9,7672.3,7830.8,7957,8123.3,8260.9,8359.5,8447.5,8673.1,8819.3,9002.1,9117.3,9255.1,9365.2,9499.6,9662.6,10090,10253,10432,10564,10659,10751,10969,11122,11322,11438,11575,11695,11824,11957,12092,12258,12382,12552,12689,12788,12875,13105,13257,13472,13586,13721,13840,13973,14132,14266,14438,14581,14681,14771,14993,15124,15339,15452,15589,15716,15851,16015,16155,16328,16463,16562,16648,16885,17060,17270,17407,17510,17595,17833,17947,18160,18269,18407,18529,18657,18792,18921,19082,19226,19401,19541,19642,19732,19959,20075
