r,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,t
1320.9,1751.3,1953.6,2095.9,2191.5,2282.5,2463.9,2631.1,2835.5,2959.6,3064.9,3227.5,3358.8,3517,3656.7,3756.9,3853,4038.1,4208.7,4417.8,4539.3,4643.8,4813.1,4947.8,5113.6,5248.7,5345.7,5443.3,5615.5,5793.7,6017.4,6148.9,6252,6412.2,6513.5,6686.1,6816,6971.3,7111.6,7207.4,7303.3,7472.8,7643.9,7854.2,7984.1,8088.4,8238.1,8338,8507.1,8645.5,8804.6,8949.3,9048.7,9144.8,9320.2,9493,9699.2,9824.3,9927.7,10084,10182,10350,10484,10646,10787,10886,10977,11143,11323,11539,11660,11763,11911,12011,12180,12314,12472,12613,12709,12806,13001,13176,13401,13527,13634,13795,13897,14071,14210,14378,14526,14630,14725,14908,15093,15308,15503,15590,15686,15870,16061,16298,16420,16524,16672,16775,16958,17096,17267,17410,17510,17604,17795,17983,18178,18305,18408,18571,18672,18834,18936,19124,19265,19441,19588,19687,19783,19993,20180
1391.4,1822.4,2033.4,2164.5,2264.2,2345.1,2565.3,2719.8,2900.4,3015.4,3140.8,3300.5,3422.4,3597.1,3730.6,3834.2,3916.8,4139.7,4303.1,4483.1,4589.1,4718.5,4887.5,5021,5192.2,5319.9,5421.2,5506.1,5727,5882.8,6082.3,6203.8,6329.6,6464.2,6584,6756.3,6888.9,7048.7,7182.4,7281,7367.1,7587.8,7740.6,7924.2,8040,8163.6,8291.9,8413.5,8579.4,8714.5,8888.1,9023.2,9125.8,9210.6,9435,9580,9765.9,9880.5,10005,10137,10256,10418,10556,10732,10862,10960,11044,11262,11412,11608,11713,11838,11962,12093,12252,12387,12554,12684,12786,12866,13115,13274,13466,13585,13708,13851,13976,14143,14280,14457,14605,14708,14790,15024,15181,15377,15563,15666,15753,15980,16121,16361,16479,16602,16728,16853,17036,17169,17341,17484,17587,17674,17908,18036,18246,18359,18489,18628,18749,18890,19015,19198,19341,19525,19663,19766,19852,20103,20226
