r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x
1741.4,1972.7,2116.1,2216.2,2314.2,2485.9,2663.6,2865.8,2989.1,3092.2,3253.4,3386.7,3544,3680.1,3785.1,3883.1,4057.4,4228.2,4443.6,4566.9,4670.3,4836.6,4968.8,5130.9,5272.3,5369.1,5462.8,5646.5,5820.1,6028.5,6147.8,6249.9,6401,6498.7,6665.7,6795,6957.7,7098,7198.2,7292.6,7466.8,7637.5,7857.7,7982.4,8085.9,8236.9,8338.3,8507.4,8640.4,8798.8,8940.2,9041.8,9138.5,9311.4,9487.3,9689,9882.1,9964.9,10058,10235,10414,10621,10747,10850,10995,11094,11258,11391,11549,11696,11793,11889,12068,12249,12470,12598,12701,12852,12956,13137,13273,13437,13584,13684,13784,13961,14145,14355,14481,14586,14753,14855
1827.1,2040.4,2186.4,2289.8,2375,2591.1,2749.7,2931.6,3046.5,3178.5,3325.6,3457.1,3617.8,3762.1,3860.1,3947.1,4172.3,4320,4507.4,4622,4751.8,4913.4,5043.6,5215.4,5345,5443.8,5525.5,5757.8,5910.2,6093.3,6203.2,6326.5,6455.1,6573.3,6738.6,6865.1,7040.2,7175.6,7274,7358.6,7578.8,7729,7924,8038.4,8161.6,8289.6,8415.9,8582.1,8712.2,8884.3,9021.3,9125.5,9203.2,9424.2,9581.8,9761.2,9939.3,10042,10129,10351,10506,10688,10802,10929,11052,11178,11337,11464,11629,11769,11870,11961,12184,12340,12539,12655,12779,12909,13040,13213,13349,13518,13658,13760,13852,14072,14197,14423,14542,14667,14816,14932
