u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1168.7,1341.4,1768.9,1939.1,2157.1,2301.6,2404.5,2499.7,2685.8,2859.8,3061.9,3187.9,3295.7,3466.8,3597,3760.4,3902.1,4002.6,4097,4269.6,4439.1,4647.3,4770.7,4873.1,5037.6,5169.5,5321.7,5471.3,5575.4,5669.3,5838.1,6011.9,6223.4,6344.5,6450.2,6620.8,6749.6,6899.4,7039.8,7135.5,7233,7399.4,7571.8,7773.7,7970.7,8048.6,8146.7,8311.7,8487.1,8690.2,8808.8,8911.3,9060.8,9159.9,9322.8,9449.6,9610.6,9758.3,9855.3,9951.8,10119,10296,10512,10639,10742,10892,10991,11169,11305,11473,11612,11712,11808,11983,12165,12375,12499,12605,12781,12882,13056,13198,13371,13518,13624,13718,13905,14095
1213.5,1379.7,1812.9,2023.1,2234,2377.7,2480.9,2567.1,2791.2,2948.1,3126,3245.8,3377.9,3538.8,3674.8,3843.3,3977.8,4079.9,4163.7,4385.1,4528.5,4709,4825.8,4955.6,5114.7,5242.9,5409.1,5552.1,5651.8,5735.1,5947.8,6108.6,6290.1,6397.6,6526,6693.5,6816.1,6978.8,7110.3,7213.6,7301.8,7506.4,7660.7,7846.8,8025,8128.2,8212.6,8421.8,8580.7,8755.6,8865.2,8991.8,9116.2,9237.8,9395.5,9521.9,9698,9829.6,9932.2,10018,10227,10392,10579,10699,10825,10953,11071,11241,11380,11557,11689,11789,11881,12097,12257,12442,12558,12687,12835,12964,13130,13281,13441,13595,13707,13788,14015,14186
