u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,r,n,n,a,b,l
1066.4,1238.8,1396.1,1564.8,1721,1972.4,2117.6,2221.6,2317.5,2497.9,2674.5,2891.8,3024.8,3135.1,3305.4,3436,3596.5,3740.2,3835.3,3933,4097.8,4271.4,4481.3,4606.3,4711.8,4874,4976.3,5154,5281.6,5432.2,5572.9,5673.3,5766.4,5942.9,6114.9,6327.3,6454.1,6558.9,6732,6865.8,7024.7,7165.2,7263.5,7360.1,7534.2,7706.1,7901.5,8090.5,8168.7,8268.9,8441.3,8617.8,8828.4,8948.4,9053.3,9203.5,9306.7,9471.7,9607.2,9761.9,9905.1,10006,10100,10282,10459,10674,10797,10898,11048,11149,11327,11462,11624,11761,11860,11956,12129,12314,12514,12718,12808,12906,13091,13273,13497,13626,13732,13884,13982,14158,14297,14450,14588,14689,14784,14965,15145,15376,15496,15602,15748,15853,16030,16167,16338,16477,16580,16678,17042,17246,17391,17489,17586,17775
1118.5,1284.9,1437.5,1615.5,1799.3,2045.3,2188.2,2293.8,2380.9,2606.8,2765.1,2956.3,3074.6,3213.7,3372.3,3502.8,3677.6,3809.3,3907.7,3995.5,4213.7,4364.7,4545.7,4660.9,4793.5,4929.5,5061.8,5222.8,5352,5513.2,5647.9,5746.8,5835.8,6061.1,6205.8,6391.8,6506.4,6636.3,6803.2,6939,7108.6,7242.8,7343.2,7425.8,7654.3,7796.1,7978.3,8144.3,8250.8,8336,8560.2,8712.1,8891.7,9003.4,9139.9,9257.8,9386,9547.1,9679.8,9844.8,9979.5,10081,10168,10396,10547,10740,10854,10979,11105,11233,11400,11534,11707,11837,11938,12023,12251,12399,12585,12782,12890,12970,13200,13367,13564,13679,13813,13936,14070,14234,14366,14530,14665,14767,14852,15079,15233,15444,15547,15680,15803,15931,16105,16239,16421,16555,16658,16739,17125,17328,17465,17564,17653,17888
