u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1080.4,1788.6,1967.2,2204.8,2346.8,2454.5,2548.9,2733.7,2924,3134.9,3268.2,3379.5,3551.8,3689.4,3852.8,3991.1,4092.4,4189.8,4366.6,4553.6,4775.3,4913.1,5023.1,5194,5334.6,5500,5641.6,5746.2,5841.7,6029.8,6203.2,6417.7,6545,6652.3,6819.9,6924.8,7085.9,7221.2,7385.1,7528.6,7628.6,7723.3,7903.9,8083.3,8304.2,8422,8528.9,8678.2,8783.7,8961.2,9095.8,9263.5,9408.4,9506.5,9604.5,9778.3,9961.4,10174,10298,10405,10560,10660,10835,10973,11145,11290,11390,11485,11668,11849,12068,12200,12308,12470,12572,12750,12881,13048,13188,13289,13388,13570,13749,13971,14096,14205,14360,14476,14644,14786,14960,15106,15207,15305,15495,15689,15896,16026,16134,16288,16392,16576,16725,16892,17042,17147,17243,17435,17621,17848,17984,18094,18253,18359,18530,18671,18844,18998,19096,19193
1126.2,1836.2,2060,2274.4,2418.7,2526.3,2618.4,2856.3,2988.7,3191.8,3325.5,3465.4,3624.2,3766,3931.8,4065.9,4169.8,4260.2,4489.7,4647.9,4838.3,4974,5103.2,5266.8,5406.9,5583.9,5715.6,5817,5915,6149.2,6303,6485.2,6603.8,6744.4,6884.8,7014.2,7161.9,7295.3,7465,7602.1,7702,7792.7,8028,8186.5,8370.5,8478.9,8616.7,8736.2,8879.9,9036.6,9172,9341.1,9479.8,9581.8,9671.2,9903.7,10058,10243,10357,10501,10615,10755,10910,11054,11225,11367,11467,11552,11786,11945,12137,12260,12398,12525,12661,12822,12964,13135,13264,13369,13459,13693,13845,14042,14157,14292,14420,14570,14722,14865,15043,15184,15286,15374,15617,15743,15966,16084,16218,16344,16477,16658,16798,16968,17119,17221,17307,17553,17710,17914,18041,18190,18310,18444,18609,18748,18925,19074,19173,19263
