r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r
1473.3,1710.5,1848.6,1949.6,2049.3,2232.9,2408.4,2603.5,2733.5,2838,3008.1,3145.7,3312.4,3449.7,3546.6,3644.2,3814.7,3989.8,4208,4329.9,4435,4594,4695.7,4854.1,4990.9,5161.5,5303.8,5404.7,5499.7,6027.7,6222.7,6358.2,6459.3,6557.4,6732.4,6899.7,7107.6,7231.2,7341.1,7520.6,7657.9,7816.8,7955.8,8058.2,8151.2,8335.5,8508.5,8720.1,8841.2,8944.1,9090.1,9191.7,9375.5,9504.7,9682.1,9828,9928.7,10027,10209,10384,10591,10805,10882,10979,11167,11344,11549,11751,11837,11934,12113,12296,12511,12630,12735,12891,12992,13163,13293,13453,13592,13694,13794,13968,14149,14367,14497,14600,14771,14877,15048,15190,15363,15507,15610,15707,15893,16073,16288
1538.7,1775.6,1915.2,2020.3,2104.5,2331.1,2465.2,2664.2,2779.9,2914.8,3078,3217.8,3389.1,3520.1,3621.3,3707.4,3919.9,4078.6,4270.5,4385.7,4509.7,4642.9,4778,4927.4,5055.6,5233.9,5376.5,5479.1,5559.2,6098.2,6296.6,6428.5,6535.9,6618.1,6839.9,6992.6,7172.1,7282.7,7419.8,7591.5,7728.1,7898,8032.2,8131.5,8219.3,8444.9,8601.2,8786.9,8891.4,9020.7,9140.3,9266.5,9443.1,9573.2,9761.8,9902.9,10004,10090,10325,10474,10663,10853,10961,11049,11277,11428,11619,11814,11918,12005,12227,12385,12574,12683,12811,12944,13070,13235,13365,13531,13667,13771,13853,14086,14241,14433,14548,14682,14824,14954,15121,15264,15446,15582,15687,15771,15996,16142,16355
