r,u,u,u,u,r,n,n,a,b,l,w,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1183.7,1329.6,1492,1668.5,1829.1,1984.1,2215,2356.1,2457.2,2549.8,2747.6,2928.1,3103.1,3224.1,3328.3,3491.5,3623.2,3783.2,3924.5,4021.5,4115.2,4284.4,4456.9,4668,4794.3,4899.1,5073.9,5203.8,5364.6,5498.9,5599.8,5693.5,5875.3,6044.7,6241,6436.8,6519.5,6611.6,6784.7,6957.7,7172.8,7290.7,7392.9,7536.2,7633.4,7805.9,7933.9,8088.9,8227.4,8321.9,8416.1,8592.3,8770.5,8988.6,9110.5,9215,9377.4,9482.6,9675.5
1218.4,1379.9,1543.7,1720.6,1877.1,2070.6,2298.7,2429.7,2530.2,2616.8,2848.1,2977.4,3167.1,3280.3,3411.1,3563.6,3702.3,3865.1,3997.1,4096.2,4188.8,4403.4,4547,4732.9,4854.4,4989.8,5148,5282.8,5443.6,5578.2,5676.4,5766.8,5997.1,6136.2,6325.4,6486.2,6596.2,6681.1,6907.4,7051.7,7237.1,7346.3,7476.9,7594.8,7721.8,7875.3,8008.5,8170.2,8299.6,8403.2,8492.8,8712.4,8867.4,9051,9170.5,9303.9,9431,9568.4,9749
