u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1094.1,1247.2,1401.2,1578.6,1806.6,1951.9,2051.8,2149.5,2332.6,2512.1,2736.2,2861,2968.1,3142.8,3274.8,3446.8,3584.4,3685.4,3781.1,3957.9,4139.9,4350.5,4548.3,4639,4736.3,4922.5,5098.7,5315,5432,5540.3,5690.1,5791.1,5971.4,6103.8,6258.8,6397.6,6499.2,6596.8,6774,6948.8,7169,7293.8,7401.1,7558.8,7662.5,7858.7
1139.8,1297.3,1465.8,1655.9,1878.1,2024.1,2124.7,2209.4,2431,2602.2,2789.9,2917.7,3048.8,3210.6,3340.2,3523,3658.9,3762.5,3844.6,4070,4233.3,4421.3,4608.4,4715.3,4800.6,5036.9,5185.4,5373.2,5485.9,5617.5,5736.2,5882.2,6043.3,6170.1,6341.9,6473,6573.4,6663.4,6887.1,7040.5,7228.8,7346.5,7489.8,7613.5,7743.3,7928
