u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x
1825.8,1988.4,2208.6,2351,2448.1,2545.4,2714.4,2887.8,3094.5,3215.3,3319.1,3487.8,3611.7,3774.1,3912.9,4011.2,4103.7,4280.2,4452,4656,4780.6,4883.8,5033.1,5131.9,5285.7,5416.8,5571.5,5708.9,5811.7,5902.7,6075.9,6241.3,6450,6572.8,6673.5,6822.2,6920,7086.6,7213.4,7379.8,7524.3,7621.7,7714,7888.8,8065.8,8312.8,8448.3,8552.9
1872.7,2079.2,2287.2,2423.8,2522.2,2620.8,2831.1,2986.1,3156.6,3279.9,3405.9,3567,3701.2,3855.2,3988.7,4089,4182.3,4396,4537.3,4723.5,4847.4,4975.1,5089.4,5219.5,5360.4,5493.3,5647.3,5783.8,5886.8,5977.7,6190.1,6337.3,6518.9,6636.7,6766.2,6889.3,7007.3,7163.7,7295.1,7463.7,7596,7702.6,7785.6,8007.9,8156.8,8382.9,8514.4,8644.7
