u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x
1433.7,1579.7,1778.1,1966.6,2276.4,2415.9,2622.5,2767.8,2866.1,2962.1,3128.8,3302.7,3515.9,3645.3,3748.1,3897.2,3998.9,4161.8,4289.5,4441.8,4574.8,4672.1,4766.4,4937.8,5112.1,5320.5,5439.4,5543.7,5698.8,5798.8,5964.3,6093.9,6262.2,6399.8,6499.3,6590.8,6770.5,6940.4,7161.2,7302.7,7406.8,7560.3,7658.8,7826.3,7957.8,8114.3,8255.1,8358,8453.8,8624.3,8796.1,9002,9125.7,9230.7
1476.1,1630.1,1818.9,2053.8,2326.6,2504.6,2701.7,2843.1,2940.1,3021.4,3243.9,3398.2,3579.9,3701.2,3835.5,3951.3,4086.7,4234.8,4359.8,4521,4649.9,4751.6,4834.2,5055.2,5203.8,5380.7,5498.9,5621.9,5756,5878.8,6034.7,6166.7,6347,6475.1,6570.1,6660.6,6890.8,7030.7,7225.1,7361.2,7486.8,7611.1,7744.7,7901.4,8042.4,8196.2,8334.9,8436.5,8517.6,8740.3,8889.4,9069.5,9184.8,9311.5
