u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1629.9,1824.6,1974.6,2229.8,2384.5,2602.2,2742.7,2844.3,2945,3123.7,3312.2,3531.8,3657.1,3762.8,3931.5,4066.1,4232.4,4379.3,4479.8,4574.4,4757.9,4936.8,5186.8,5397.7,5485.6,5587.7,5757.1,5930.1,6139.3,6258.3,6361.7,6528.4,6664.3,6825.7,6960.8,7064.4,7159.4,7334.3,7510.7,7734.5,7855.5,7962.2,8120.6,8224.2,8400.6,8533.3,8704.1,8844.6,8950,9045.1,9227.6,9411.7,9634.5,9756.9,9865.1,10018,10124,10288,10422,10589,10731,10838,10936,11120,11305,11529,11657,11764,11958,12096,12270,12411,12516,12614,12792,12977,13197,13328,13438,13589,13692,13866,14006,14176,14325,14425,14522,14702,14885,15113,15247,15358,15525,15632,15802,15941,16122,16269,16370,16467,16647,16842,17046,17259,17343,17439,17618,17809,18038,18172,18281,18444,18552,18736,18871,19044,19200,19303,19404,19599,19788,20039,20172,20282,20440,20550,20739,20880,21074,21221,21323,21425,21620,21813,22060,22193,22304,22474,22581,22775,22911,23094,23246,23356,23452,23648,23842
1679,1871.9,2050.8,2278.9,2467.1,2676.3,2815.7,2920.8,3008.1,3249.8,3404.1,3595.2,3716.5,3850.7,4004.2,4141,4312.4,4453,4554.7,4653.7,4884.7,5010.4,5267.9,5463.1,5564.9,5650.9,5881.6,6022.7,6202,6311,6449.6,6600.2,6742,6914.2,7038.2,7138.5,7237.7,7456.3,7608.9,7802.8,7912.1,8057.3,8178.7,8315.8,8478.4,8615.5,8786.8,8922.4,9026.5,9124.1,9356.3,9518.9,9702.6,9824.9,9956.9,10076,10218,10369,10498,10672,10811,10919,11008,11247,11400,11595,11717,11851,12036,12173,12356,12488,12596,12681,12916,13073,13268,13390,13527,13647,13790,13938,14087,14258,14401,14503,14593,14829,14981,15183,15310,15451,15587,15728,15883,16021,16206,16342,16446,16537,16782,16937,17134,17314,17416,17514,17745,17904,18111,18232,18376,18506,18643,18811,18950,19133,19276,19380,19470,19726,19888,20114,20232,20370,20500,20642,20816,20961,21157,21295,21404,21503,21743,21907,22130,22255,22397,22533,22675,22851,22991,23174,23328,23434,23522,23767,23933
