r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1762.1,1973.4,2117.5,2218.9,2317.6,2499.9,2679.6,2888.7,3017.3,3128.3,3312.5,3458.1,3623,3771,3873.1,3975.1,4158.2,4337.8,4549.5,4676.8,4781.6,4956.8,5093.1,5253.7,5394.6,5496.5,5596.2,5782.2,5963.3,6173.8,6293.9,6398.1,6568.3,6671.8,6842.4,6974.2,7133.8,7275.8,7378.6,7475.6,7663.8,7843.5,8049.9,8255.3,8346.4,8441.8,8618,8795.5,9004.1,9123.8,9227.2,9385,9486,9666.7,9802.4,9958.2,10101,10199,10293,10469,10654,10866,10994,11098,11256,11358,11533,11673,11834,11970,12070,12165,12346,12530,12735,12947,13032,13130,13314,13502,13761,13885,13989,14147,14250,14436,14570,14735,14876,14977,15075,15250,15431,15655,15781,15886,16039,16143,16313,16453,16625,16770,16874,16972,17162,17355,17595,17744,17850,18017,18121,18306,18450,18617,18766,18865,18962,19143
1843.1,2048.4,2188.7,2290.4,2374,2598.9,2743.9,2953.7,3066.9,3209.7,3384,3526.7,3699.4,3845.4,3948.8,4042.6,4261.1,4426.3,4616.1,4726.8,4852.7,5033.1,5165.4,5335,5467.7,5571.9,5657.4,5883.2,6056.9,6236.9,6341.6,6479.9,6619.2,6753.7,6913.2,7045.1,7213.3,7352.8,7459.3,7545.8,7776.8,7931.7,8115.5,8315.8,8419.1,8508.5,8724.6,8887.4,9070.7,9175.2,9295.6,9434.1,9565.6,9742.2,9873.7,10041,10175,10277,10361,10593,10751,10937,11045,11178,11307,11438,11606,11741,11911,12043,12149,12230,12461,12622,12812,13004,13114,13199,13421,13558,13825,13934,14066,14203,14335,14510,14640,14816,14951,15058,15142,15358,15515,15720,15833,15963,16091,16221,16389,16524,16704,16848,16952,17038,17269,17445,17666,17797,17931,18069,18200,18384,18519,18696,18836,18944,19027,19253
