r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,n,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1730.6,1952.9,2097.7,2204,2301.8,2487.7,2666.5,2877.2,3013.7,3119.3,3303.6,3434,3596.2,3734,3833.1,3929.2,4102.4,4283,4491.8,4613.1,4720.1,4889.4,5017.2,5215.4,5359.2,5457.1,5554,5732.1,5909,6107.8,6309.5,6398.7,6495.9,6678.7,6854.2,7060.9,7177.4,7283.2,7436.8,7539.2,7700.9,7833,7983.7,8124.2,8222.8,8317.5,8493.3,8672.3,8885.8,9003.2,9201.8,9293,9390.6,9563.6,9743.8,9964.8,10087,10191,10343,10443,10604,10737,10893,11027,11124,11229,11404,11586,11805,12019,12101,12198,12382,12570,12781,12899,13005,13157,13258,13424,13561,13717,13855,13954,14048,14227
1801.5,2027.7,2174.5,2276.9,2367.1,2600.9,2756.9,2938.1,3065.9,3200.2,3372,3501.3,3675,3804.2,3909.3,3995.6,4219,4372.8,4558,4665.7,4799.8,4952.4,5090.2,5296.5,5432.2,5536.3,5620,5847.3,5999.2,6171.9,6369.8,6478.1,6565.5,6788.9,6924.8,7123.2,7233.2,7363.5,7486,7621,7773.1,7910,8067.4,8198.1,8298.7,8384.4,8608.1,8745.3,8958.4,9080.4,9266.2,9368.8,9458.2,9678.8,9837.2,10026,10142,10274,10398,10524,10678,10810,10971,11103,11203,11286,11524,11677,11883,12071,12181,12267,12493,12635,12848,12953,13091,13211,13342,13501,13627,13797,13930,14030,14116,14332
