u,u,u,u,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l
1128.6,1269.3,1444,1602.8,1831.3,1967.8,2069.2,2163.9,2339.1,2519.3,2732.8,2859.4,2972.1,3125.9,3228.8,3391.4,3522.2,3685.3,3825.7,3926,4019.8,4195.2,4371.2,4583.3,4711.1,4816.5,4978.9,5081.2,5248.6,5378.6,5543.2,5679.5,5780.9,5872.3,6066.6,6246,6463.5,6584.6,6690.3,6839.9,6938.9,7108.4,7241.5,7402.9,7537.3,7637.2,7733.6,7913.6,8087.2,8289.3,8476.7,8566.2,8663.5,8839.5,9019.8,9237.2,9355.5,9460.8,9608.8,9709.2,9884.2,10014,10167,10300,10404,10500,10679,10858,11073,11206,11312,11477,11577,11754,11900,12074,12218,12320,12413,12612,12791,13012,13131,13237,13391,13492,13677,13820,13994,14136,14236,14330,14510,14689,14882,15110,15198,15296,15466,15650,15880,16010,16113,16261,16362,16547,16687,16847,16991,17091,17186,17368,17546,17762,17978,18066,18162,18363
1161.9,1301.9,1494.3,1645.4,1902.3,2040.8,2141.4,2231.1,2449.3,2591.4,2793.1,2919,3048.8,3182.5,3311.4,3469.8,3602.4,3761,3896.3,3998.3,4091.9,4312.6,4467.3,4648.1,4765.4,4895.3,5037.3,5164.6,5321.8,5452.5,5618.2,5755.3,5854.2,5948.4,6185.7,6341.2,6530.1,6640.3,6779.8,6896.5,7035.2,7180.4,7315.5,7482.1,7612.3,7711.1,7803.9,8029.9,8179.9,8371.7,8542.5,8642.9,8732.2,8955.6,9117.3,9306.7,9415,9544.5,9665.6,9795.6,9958.8,10091,10248,10379,10478,10571,10806,10958,11145,11268,11395,11534,11662,11829,11978,12160,12294,12395,12482,12728,12885,13080,13191,13320,13450,13583,13758,13899,14076,14209,14311,14394,14629,14769,14969,15176,15276,15369,15587,15745,15951,16069,16201,16318,16449,16626,16763,16932,17069,17165,17251,17473,17631,17849,18041,18145,18232,18464
