u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x
1112.3,1271.3,1719.4,1948.8,2091.6,2194.1,2291.7,2479.4,2655.2,2871.9,3005.1,3110.1,3268.2,3373.3,3534.4,3667.8,3830.1,3971.7,4070.4,4165.2,4342.4,4520.4,4737.7,4864.4,4969.9,5160.3,5296.6,5464,5602.3,5706.3,5806.2,5978.9,6152.3,6367.9,6525.2,6633.9,6818.1,6953.1,7108.6,7249.1,7352.5,7453.4,7625.8,7806,8044.5,8180,8285.3,8447.8,8549.8,8728.8,8867.8,9029.1,9177.5,9275.8,9372.1,9547.6,9728.3,9943.1,10148,10236,10339,10532,10713,10929,11057,11165,11318,11424,11588,11691,11864,11997,12152,12298,12407,12504,12684,12869,13092,13220,13334
1162.2,1311.4,1792,2017.4,2162.6,2266,2353.4,2587.6,2748.4,2932.7,3055.2,3191.9,3318.8,3458,3604.5,3737.4,3905.9,4042.6,4143.9,4231.9,4460.8,4610.6,4801.7,4915.7,5055.7,5232.3,5372.1,5538.4,5678.9,5778.4,5873,6086.2,6241.8,6432.1,6580.9,6722.3,6892.3,7025.8,7187.8,7327.5,7427.6,7520.1,7739.5,7894.4,8108.2,8235.5,8377.8,8504.1,8631.4,8803.5,8939.5,9112.4,9247.7,9352.8,9436.4,9663.1,9823.8,10013,10209,10317,10408,10654,10803,10996,11117,11243,11375,11503,11645,11775,11936,12071,12232,12379,12481,12572,12796,12963,13160,13272,13418
