u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b
1031.8,1189.2,1558.6,1727.5,1954.6,2106.5,2217.8,2311.6,2493.9,2668.2,2885,3015.5,3124.1,3285,3422.2,3594,3740.5,3837.6,3930.8,4108.8,4281.8,4488.7,4614.5,4719,4873.7,4976.8,5144.2,5276.9,5434.4,5573.2,5673,5768.9,5959.8,6135.3,6347.4,6467.7,6571.9,6724.3,6822.8,6990.6,7125.3,7285.8,7425.4,7521.7,7618.2,7787.9,7964.7,8182.3,8305.4,8413,8567.9,8670.4,8829.9,8932.6,9102.9,9239.5,9402,9557.7,9669.6,9762.9
1066.3,1236.6,1590.8,1803,2035.7,2180.4,2289.9,2379.7,2605.6,2758.7,2949.8,3072.4,3207.1,3359,3492.6,3679.1,3813.9,3908.7,3995.3,4220.2,4372.6,4555.8,4672,4801.8,4929.7,5060.3,5213.9,5347.2,5515.8,5646.2,5748.5,5838.1,6076.8,6225.6,6413.1,6523.9,6654.2,6776.9,6904.8,7065.2,7197.7,7363.2,7497.9,7598.6,7687.4,7907.2,8063.1,8245.4,8363.4,8489.2,8623,8759.7,8885.1,9018,9175.2,9315.1,9486.2,9639.7,9745.8,9830.2
