u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1802,1964.1,2192.1,2336,2440.2,2533.1,2710.6,2879.2,3083.3,3214.9,3320.2,3477.3,3606.2,3780.8,3918.3,4015.4,4112.2,4283,4456.4,4665,4790.5,4894.6,5046.7,5146.2,5314.1,5445,5607.2,5745.9,5845.9,5939.9,6112.4,6287.7,6494.2,6615.6,6719.4,6879.5,6980.5,7141.2,7276.9,7433.7,7569.6,7665.4,7758.5,7929.4,8095.2,8300.1,8419,8524.4,8666.6,8768.7,8932.9,9062.6,9223,9362.2,9457.1,9550.9,9727.1,9903.8,10096,10285,10367,10460,10644,10825,11046,11169,11273,11427,11530,11707,11838,12018,12158,12261,12356,12545,12718,12937,13062,13166,13323,13426,13654
1835.3,2058.9,2273.2,2412.2,2515.1,2594.7,2829.3,2969.2,3145.8,3271.4,3405.1,3546.8,3682.8,3862.4,3992.1,4095.2,4180.8,4396.9,4547.1,4725.8,4847.7,4978.7,5101.6,5233.1,5387.6,5516,5685.9,5818.2,5923.3,6001.6,6232.8,6381.9,6560.2,6672.5,6811.6,6935.9,7058.9,7212.5,7351.5,7516.1,7643,7738.3,7826.9,8049.1,8187.7,8371.5,8477.2,8608.2,8723.2,8856,9003,9134.6,9301.4,9436.8,9536.5,9619.8,9844.8,9991.4,10178,10344,10445,10526,10755,10914,11112,11226,11361,11482,11620,11782,11916,12103,12239,12343,12429,12663,12811,13005,13123,13253,13381,13517,13725
