u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n
1242.7,1402.8,1823,1983.2,2206.8,2350.6,2449.1,2542.8,2715.8,2891.2,3096.8,3220.4,3321.4,3489.1,3620.9,3775.9,3917,4013.2,4109.7,4285.1,4458.8,4660.5,4779.3,4880.8,5038.2,5169.2,5333.9,5469.3,5567.2,5662.5,5838.9,6010.5,6211.8,6333.3,6435.5,6593.8,6690.7,6856.8,6983.3,7141.4,7275.1,7372.2,7462.8,7635.6,7806.3,8015,8137.9,8240,8392.5,8492.2,8666,8794.6,8953.1,9091.8,9192.5,9286.2,9454.3,9628.9,9838.6,10034,10114,10209,10397,10570,10786,10912,11016,11164,11263,11424,11555,11730,11871,11969,12066,12248,12432,12651,12774,12878,13029,13131,13295,13397,13568,13704,13881
1293.8,1489.9,1879.3,2079.8,2285.8,2424.3,2523.5,2610.1,2832.1,2984.7,3161.8,3278.9,3411.2,3564.4,3703,3857.8,3988.2,4090.9,4178,4406.9,4548.4,4724.2,4837,4968.2,5114.8,5253.6,5413.9,5546.3,5643.8,5725.2,5961.3,6105.2,6280.6,6392.3,6527.3,6650.8,6772.4,6930.8,7061.2,7218.6,7350.3,7442.2,7533.2,7761.6,7906.6,8087.3,8196.2,8330.6,8446.4,8586,8741.6,8890.1,9037.2,9171.5,9268.7,9361.9,9577.7,9730.3,9921.5,10092,10190,10278,10524,10672,10858,10973,11109,11225,11358,11501,11631,11815,11950,12050,12133,12371,12532,12723,12840,12968,13094,13219,13362,13490,13643,13786,13945
