u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,t,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l
1222.4,1395.9,1589.5,1764.8,1989,2134.1,2239.7,2336.8,2522.6,2698.1,2915.4,3053.4,3162.7,3323.1,3463.3,3624.2,3762.1,3864.2,3958.8,4133.7,4307.5,4522.2,4648.1,4753.4,4930.2,5068.1,5227.3,5372.1,5473.4,5567.2,5739.3,5920,6130.2,6256.7,6360.1,6523.6,6623.5,6795.3,6929,7087.7,7231.6,7330.3,7424.8,7598,7773.9,7986.2,8134,8240.2,8393.1,8494.4,8672.2,8818.1,8978.2,9124,9223.2,9317.7,9485.8,9665.2,9876.7,9996.7,10102,10260,10362,10536,10665,10823,10965,11064,11157,11333,11514,11727,11849,11953,12100,12204,12393,12530,12692,12833,12931,13027,13204,13387,13609,13737,13843,14006,14110,14288,14431,14598,14746,14841,14939,15127,15315,15522,15731,15821,15918,16124
1269.1,1439.7,1628.2,1852.9,2065.1,2211.6,2315.2,2401.7,2642.4,2790,2978.9,3109.4,3248.2,3398.5,3532.3,3699.5,3838.7,3942.5,4024.8,4249.2,4398.6,4584,4700.2,4837.4,5003.5,5140.6,5311.4,5449.3,5550.5,5636,5862.6,6012.7,6198.3,6312.6,6451,6579,6711.5,6869,7003.2,7171.8,7308.7,7408.5,7492.1,7718.7,7874.4,8055.2,8186.3,8324.3,8447.8,8580,8746.8,8892.9,9057.6,9199.1,9299.4,9388.8,9612.3,9759.2,9940.9,10051,10189,10314,10447,10609,10739,10905,11043,11145,11226,11454,11609,11792,11907,12039,12158,12295,12470,12604,12775,12909,13012,13101,13321,13483,13679,13792,13931,14063,14199,14366,14505,14681,14819,14922,15010,15236,15411,15611,15800,15901,15990,16231
