u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1043.5,1201.3,1756.7,1979.1,2122.4,2227.5,2327,2518.8,2702.9,2892.8,3029.8,3146.7,3318.1,3461.8,3633.6,3775,3879.1,3976.3,4168.3,4344.4,4559.8,4690.9,4803.3,4961.2,5064.1,5237.9,5368.8,5542.2,5684.8,5788.7,5885.6,6072.4,6254.2,6478.2,6603.1,6714,6884,6987,7153.4,7289.8,7449.2,7593.7,7695.6,7798.2,7971.3,8154,8380.7,8512.3,8618.6,8779.4,8883.2,9055.8,9194.6,9358.6,9499.7,9597.8,9701.8,9881.8,10066,10284,10491,10583,10686,10871,11052,11276,11402,11510,11668,11775,11932,12035,12215,12348,12510,12653,12756,12853,13035,13217,13436,13640,13725,13822,13992,14180,14403,14530,14638,14805,14908,15092,15228,15399,15541,15648,15744,15929,16117,16339,16478,16586,16749,16856,17028,17150,17333,17473,17660,17807,17911,18010,18216,18400,18615,18863,19035,19228,19376,19475,19572,19770,19948,20179,20316,20425,20617,20765,20949,21102,21206,21307,21499,21703,21953,22092,22199,22365,22473,22634,22739,22915,23068,23231,23378,23479,23576,23772,23959,24202,24337,24447,24607,24717,24902,25050
1079.8,1254.8,1833.2,2051.2,2197.2,2298.2,2389,2629.2,2764.4,2956.1,3078.6,3232.5,3388.3,3532.9,3711.6,3848.6,3954.1,4044.1,4287.4,4434.4,4623.8,4745,4892.8,5014.8,5149.6,5307.8,5442.3,5625.2,5763.8,5867.3,5953.1,6187.1,6347.8,6544.2,6656.9,6795.8,6942.8,7080.6,7229.9,7362.1,7528.8,7670.8,7775.8,7860,8088,8243.8,8446.4,8564.3,8701,8831.3,8969.7,9130.2,9268.6,9439.2,9575.2,9679.4,9769.7,10002,10159,10362,10559,10663,10754,10989,11147,11350,11463,11593,11724,11862,11987,12124,12285,12421,12594,12730,12834,12922,13152,13313,13506,13698,13803,13892,14117,14278,14471,14591,14726,14863,14998,15170,15300,15479,15623,15723,15811,16050,16214,16415,16536,16674,16807,16943,17082,17230,17411,17548,17742,17888,17991,18082,18322,18494,18696,18929,19126,19312,19451,19555,19643,19880,20040,20248,20373,20509,20694,20838,21030,21179,21285,21379,21618,21795,22022,22150,22281,22417,22552,22691,22825,22992,23137,23310,23458,23554,23651,23884,24048,24274,24394,24535,24665,24805,24985,25123
