u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,u,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1459.4,1597.4,1830.3,1971.9,2071.1,2168.3,2359,2531.4,2748,2875,2987.7,3156.8,3291.3,3457.8,3595.7,3696.1,3794.3,3977.2,4159.1,4371.4,4500.1,4605.9,4780.9,4915.5,5078.7,5221.2,5320.8,5416.5,5607.5,5787.4,5993.3,6186.4,6273.3,6369.2,6557,6734.3,6956.1,7075.2,7179.9,7329.2,7434.5,7598.3,7731.9,7889.4,8030.6,8128.5,8225.1,8581.8,8701.6,8903.3,9043,9145.9,9243.7,9421.1,9596.4,9798.7,10018,10105,10202,10392,10567,10793,10915,11022,11171,11274,11441,11575,11735,11880,11982,12082,12256,12435,12660,12791,12898,13066,13167,13350,13483,13641,13784,13884,13979,14157,14344,14554,14777,14859,14957,15163,15352,15572,15699,15804,15958,16059,16242,16376,16541,16685,16792,16887,17080,17267,17466,17616,17722,17881,17983,18172,18310,18476,18624,18726,18824,19016,19201,19445,19574,19684,19851,19959,20135,20279,20455,20607,20709,20808
1511.9,1675.4,1900,2040.7,2144.3,2233.3,2463.2,2617.4,2804,2927.6,3071.4,3230,3358.7,3529.2,3665.4,3771.8,3857.6,4093.4,4253,4435.9,4553.2,4674.9,4846,4986.7,5155.3,5293.7,5394.4,5479.3,5719.4,5876,6059.5,6241,6349.7,6434.9,6670.8,6832.7,7020,7126.1,7263.8,7379.8,7515.5,7671.6,7800,7970.4,8105.8,8204.1,8291.3,8612.7,8784.7,8988.5,9117.6,9222.8,9308.3,9534.1,9690.9,9866.8,10080,10182,10268,10506,10657,10859,10971,11107,11225,11354,11514,11650,11814,11957,12061,12147,12366,12530,12728,12845,12976,13117,13249,13422,13554,13729,13858,13958,14043,14273,14436,14628,14827,14935,15026,15272,15444,15644,15750,15894,16009,16148,16313,16448,16624,16761,16868,16956,17191,17314,17539,17676,17808,17936,18068,18245,18382,18559,18702,18805,18890,19129,19289,19510,19629,19766,19902,20047,20208,20356,20541,20681,20787,20872
