n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1976,2123,2231.2,2330,2523.8,2708.6,2926.1,3059.8,3168.2,3412.9,3551.7,3715,3861.3,3960.1,4059.4,4246.6,4418.2,4633.8,4761.8,4866.1,5042.2,5211,5338.1,5478.9,5583.8,5682.8,5861.3,6041.4,6265.2,6386.3,6492.1,6645.6,6746.3,6914.9,7053.2,7222.1,7366.8,7471.8,7571.7,7753.7,7933.2,8149.4,8270.7,8379.2,8556.2,8691.4,8850.3,8996.3,9095,9196.1,9366.5,9548.5,9763.5,9963,10050,10148,10324,10506,10733,10865,10971,11132,11236,11411,11548,11740,11880,11985,12084,12263,12447,12675,12803,12910,13073,13175,13352,13497,13666,13810,13916,14015,14208,14386,14601,14806,14894,14993,15172,15366,15600,15726,15834,15991,16097,16265,16371,16550,16687,16852,16995,17099,17200,17397,17582,17811,17949,18057,18228,18333,18523,18663,18834,18979,19083,19185,19390,19580,19817,19952,20064,20247,20356,20554,20701,20877,21320,21462,21684,21836,21938,22041,22239,22424,22652,22785,22895,23053,23157,23343,23484,23664,23815,23923,24024
2045.4,2193,2299.2,2385.5,2618.9,2783.3,2983.3,3109.7,3244.5,3482.3,3620.7,3791.3,3932.6,4033.5,4123.8,4346.5,4505.5,4693.1,4808.8,4944.8,5111.2,5243,5415.8,5557.7,5660.1,5751.3,5973.5,6126.8,6325.3,6438.6,6576,6692.8,6826.3,6987.2,7125.1,7301.6,7442.6,7551.1,7637.7,7864.9,8027.4,8210.6,8322.3,8461.3,8630.8,8761.1,8935.7,9070.6,9174.4,9260.2,9483.1,9638.1,9833.5,10021,10130,10217,10440,10599,10801,10917,11053,11183,11320,11491,11625,11821,11959,12061,12152,12379,12544,12739,12855,12996,13123,13257,13429,13572,13745,13892,13995,14083,14319,14476,14668,14863,14977,15061,15285,15458,15668,15785,15921,16047,16177,16318,16446,16626,16762,16931,17071,17179,17268,17515,17676,17879,18009,18151,18280,18412,18599,18732,18916,19058,19165,19254,19496,19669,19889,20008,20148,20301,20441,20629,20768,20914,21369,21547,21771,21915,22014,22109,22355,22513,22722,22840,22977,23106,23237,23422,23562,23747,23896,23998,24089
